source_x,source_y,reference_x,reference_y,residual_px,residual_m
352.0,72.0,351.79498291015625,72.01085662841797,0.1316256628746941,0.6581283143734705
360.0,72.0,360.905029296875,72.48406219482422,1.3282892943755515,6.6414464718777575
360.0,80.0,360.3958435058594,80.7708511352539,1.048599261133804,5.24299630566902
384.0,80.0,384.1151428222656,80.522216796875,0.6798149883348786,3.3990749416743933
280.0,88.0,280.33251953125,88.14071655273438,0.6575979908409575,3.2879899542047877
360.0,88.0,360.2896728515625,88.47447204589844,0.7682907946469916,3.841453973234958
104.0,96.0,103.90875244140625,95.49800109863281,0.578336552782635,2.891682763913175
280.0,96.0,280.05462646484375,96.14654541015625,0.3840310348498497,1.9201551742492484
288.0,96.0,287.4084167480469,96.36705780029297,0.4391650116141015,2.1958250580705077
360.0,96.0,359.49365234375,95.89434814453125,0.22129428161039583,1.106471408051979
104.0,104.0,103.98234558105469,103.01432800292969,1.064111130338553,5.320555651692765
288.0,104.0,287.00750732421875,104.05818939208984,0.684957067692185,3.424785338460925
296.0,104.0,296.52374267578125,104.12531280517578,0.838803740591513,4.194018702957565
304.0,104.0,303.75921630859375,104.21924591064453,0.2031865513245436,1.015932756622718
352.0,104.0,350.8659973144531,105.55281066894531,1.732038558634206,8.66019279317103
360.0,104.0,359.240966796875,104.42957305908203,0.5973160442484302,2.986580221242151
104.0,112.0,104.46199798583984,110.64566040039062,1.5829767296582116,7.914883648291058
288.0,112.0,288.4111633300781,109.9646987915039,2.187434767171535,10.937173835857674
296.0,112.0,296.7381896972656,110.8404541015625,1.5833046990632718,7.916523495316358
328.0,112.0,324.3420715332031,112.11618041992188,3.3480360128545095,16.740180064272547
336.0,112.0,335.4267883300781,112.84087371826172,0.8540606538934924,4.270303269467462
360.0,112.0,359.56439208984375,111.11738586425781,0.9157525526874604,4.578762763437302
104.0,120.0,103.7222671508789,120.0860824584961,0.037086109573480165,0.18543054786740082
296.0,120.0,296.4026184082031,119.61878204345703,0.8166410513405955,4.0832052567029775
304.0,120.0,303.5290832519531,120.1385726928711,0.1990611364927674,0.9953056824638371
312.0,120.0,311.4731140136719,120.03684997558594,0.22300187322477305,1.1150093661238651
320.0,120.0,319.3188171386719,121.6773681640625,1.6887358312208676,8.443679156104338
352.0,120.0,352.37255859375,119.63704681396484,0.7875872147318024,3.937936073659012
104.0,128.0,105.18028259277344,128.3268280029297,1.46855223318982,7.3427611659491
112.0,128.0,112.22903442382812,128.06236267089844,0.4930208243800587,2.4651041219002936
328.0,128.0,328.2191162109375,127.51242065429688,0.7364194789375352,3.682097394687676
352.0,128.0,352.34991455078125,127.96829986572266,0.6596800116122769,3.298400058061384
176.0,160.0,174.67933654785156,160.4541778564453,1.1352185324985393,5.676092662492697
184.0,168.0,184.19818115234375,169.77996826171875,1.7836683945065268,8.918341972532634
192.0,168.0,193.04238891601562,169.10638427734375,1.6719629392615847,8.359814696307923
272.0,168.0,272.0173645019531,169.1511993408203,1.1413623995854365,5.706811997927183
280.0,168.0,280.98040771484375,169.46434020996094,1.892500113659958,9.46250056829979
184.0,176.0,185.43563842773438,176.0553741455078,1.6870003630669101,8.435001815334552
