source_x,source_y,reference_x,reference_y,support_runs,support_ids,source_spread_median_px,source_spread_max_px,reference_spread_median_px,reference_spread_max_px,ransac_residual_px
3875.91357421875,1146.931396484375,3881.792724609375,1144.58154296875,3,IDENTITY;SHIFT_ROT_A;SHIFT_ROT_SCALE,0.64111328125,6.292412797841196,0.033447265625,0.08068653744951534,0.8087396026262929
3876.2177734375,1097.266357421875,3881.564697265625,1094.2923583984375,3,IDENTITY;SHIFT_ROT_A;SHIFT_ROT_SCALE,0.80908203125,6.050017721814217,0.0941162109375,0.4193770489308637,0.6622348688766887
3851.335205078125,1097.4830322265625,3856.78125,1094.5098876953125,3,IDENTITY;SHIFT_ROT_A;SHIFT_ROT_SCALE,0.75927734375,6.13884286524013,0.15029309565865337,0.24356193623466527,0.4987574695343637
3901.1005859375,1097.0496826171875,3906.69873046875,1094.4798583984375,3,IDENTITY;SHIFT_ROT_A;SHIFT_ROT_SCALE,0.9095458984375,5.967286984158008,0.01943948167714295,0.05284742317991386,0.34415552362461566
3851.487060546875,1072.650634765625,3856.88427734375,1069.974365234375,3,IDENTITY;SHIFT_ROT_A;SHIFT_ROT_SCALE,1.127685546875,6.024314712593187,0.0,0.0,0.39126940153995726
3876.065673828125,1122.098876953125,3879.49951171875,1118.8336181640625,3,IDENTITY;SHIFT_ROT_A;SHIFT_ROT_SCALE,0.591064453125,6.1703468326145705,0.5429463690666467,3.873987927092576,2.1184635175524336
3776.686767578125,1097.19921875,3782.5498046875,1094.5877685546875,3,IDENTITY;SHIFT_ROT_A;SHIFT_ROT_SCALE,1.1145101423683421,6.022251731092949,0.156494140625,0.3300208995804496,0.6364785876593086
3925.98291015625,1096.8328857421875,3931.7490234375,1094.6092529296875,3,IDENTITY;SHIFT_ROT_A;SHIFT_ROT_SCALE,1.2783203125,5.891556451145176,0.0224091305550364,0.059498227389561786,0.11843502792442985
3776.8388671875,1072.316650390625,3782.235107421875,1069.974365234375,3,IDENTITY;SHIFT_ROT_A;SHIFT_ROT_SCALE,1.3867738739662683,5.882661678209673,0.0,0.0,0.5605971519896399
3950.865966796875,1096.6162109375,3956.6640625,1094.7838134765625,3,IDENTITY;SHIFT_ROT_A;SHIFT_ROT_SCALE,1.64697265625,5.822721191570261,0.05453524512054261,0.08907394670243239,0.15416729535163057
3751.804443359375,1097.0472412109375,3757.75634765625,1093.91845703125,3,IDENTITY;SHIFT_ROT_A;SHIFT_ROT_SCALE,1.4171381480194292,5.9638924780085,0.289794921875,0.35510914817054545,0.7715338811181173
3752.1083984375,1047.2818603515625,3757.610107421875,1045.1888427734375,3,IDENTITY;SHIFT_ROT_A;SHIFT_ROT_SCALE,1.9096361478038306,5.682638595391262,0.07704406631663499,0.181640625,0.9789302859135568
3975.748291015625,1096.3995361328125,3981.408203125,1094.944091796875,3,IDENTITY;SHIFT_ROT_A;SHIFT_ROT_SCALE,2.015625,5.761687596123733,0.0509033203125,0.067138671875,0.47144912579926807
4000.631103515625,1096.182861328125,4006.183837890625,1095.01416015625,3,IDENTITY;SHIFT_ROT_A;SHIFT_ROT_SCALE,2.3843994140625,5.707993680154945,0.043667913813410994,0.09210445737127748,0.711377112837389
3950.7138671875,1121.4488525390625,3957.5185546875,1119.1124267578125,3,IDENTITY;SHIFT_ROT_A;SHIFT_ROT_SCALE,1.697021484375,5.953232301160531,0.79443359375,5.121685999152255,1.299176865074633
4050.244140625,1120.5819091796875,4056.58740234375,1119.361572265625,3,IDENTITY;SHIFT_ROT_A;SHIFT_ROT_SCALE,3.1719970703125,5.767018493515864,0.2637994528234792,3.9711989877952774,0.51545760188045
4099.857421875,1144.98095703125,4105.7451171875,1144.63916015625,3,IDENTITY;SHIFT_ROT_A;SHIFT_ROT_SCALE,3.9595947265625,5.869276632297689,0.0264892578125,0.21357993426565813,0.8320068948553632
3679.34912109375,1395.18310546875,3681.291748046875,1391.6669921875,3,IDENTITY;SHIFT_ROT_A;SHIFT_ROT_SCALE,3.772607512642112,4.016845703125,0.22412109375,5.953259420254002,0.6666791300045317
4075.126953125,1120.365234375,4080.894287109375,1118.3092041015625,3,IDENTITY;SHIFT_ROT_A;SHIFT_ROT_SCALE,3.5406494140625,5.739413691752404,0.746337890625,5.125428181881264,0.7515618398909096
3704.615234375,1445.1004638671875,3705.951416015625,1443.22119140625,3,IDENTITY;SHIFT_ROT_A;SHIFT_ROT_SCALE,3.514803152449782,4.7041015625,1.07177734375,1.820068359375,0.7826527405091706
