rank,candidate_id,method,representation,initial_translation_magnitude_px,recovered_translation_magnitude_px,distinct_candidates,ransac_inliers,ransac_inlier_ratio,coverage_cells,valid_coverage_cells,coverage_ratio,ransac_self_rmse_px,shape_sane,verification_score
1,loftr_intensity,loftr,intensity,693.1656232449263,692.7710372674055,2793,1295,0.46365914786967416,10,15,0.6666666666666666,1.8167853282228734,True,220.3300474978918
2,lightglue_intensity,lightglue,intensity,618.6347515581484,691.364029192204,2612,1250,0.4785604900459418,10,15,0.6666666666666666,1.8144681598091887,True,219.78914659684983
3,sift_gradient,sift,gradient,687.2160180091,688.818643247758,2770,1253,0.4523465703971119,10,15,0.6666666666666666,1.833714101489498,True,206.0627489120527
4,loftr_gradient,loftr,gradient,688.63840829044,696.0089481978529,2836,1205,0.4248942172073343,10,15,0.6666666666666666,1.765234179170568,True,193.36340291326502
5,lightglue_gradient,lightglue,gradient,7.017588208112992e-14,0.8229259338697527,1004,604,0.601593625498008,5,15,0.3333333333333333,1.3523181480057944,True,89.56535125422273
6,sift_intensity,sift,intensity,47.23429125431721,0.3420747654386342,1053,614,0.5830959164292497,5,15,0.3333333333333333,1.351674406917081,True,88.29071331957294
