source_x,source_y,matched_reference_x,matched_reference_y,true_reference_x,true_reference_y,ground_truth_error_px,ransac_self_residual_px
124.41561889648438,49.76625061035156,124.41561889648438,48.07829666137695,120.85575745172233,59.70066600559952,12.155331450825514,1.618026040286277
149.2987518310547,49.76625061035156,149.2987518310547,47.99683380126953,145.8005839139286,59.51780760201499,12.040349500486835,1.6970263056412003
174.18186950683594,49.76625061035156,174.18186950683594,48.07991409301758,170.7453950795142,59.33494931056254,11.767972392804706,1.611489077317953
199.06500244140625,49.76625061035156,199.06500244140625,46.9619026184082,195.69022154172043,59.15209090697801,12.648708891885713,2.7270244145811477
223.9481201171875,49.76625061035156,223.9481201171875,47.96501922607422,220.63503270730604,58.96923261552556,11.49213907443237,1.7214636465791513
248.83123779296875,49.76625061035156,248.83123779296875,48.817344665527344,245.57984387289162,58.78637432407312,10.485853077193095,0.8667080454660684
273.7143859863281,49.76625061035156,273.7143859863281,49.056400299072266,270.52468563171857,58.60351580835649,10.065863246627769,0.6252083963916839
124.41561889648438,74.64937591552734,124.41561889648438,72.2906494140625,121.03861579924082,84.64548481949544,12.808048556049895,2.2987823754270056
149.2987518310547,74.64937591552734,149.2987518310547,73.38370513916016,145.9834422614471,84.4626264159109,11.56433198238325,1.2033013494081908
174.18186950683594,74.64937591552734,174.18186950683594,73.90401458740234,170.9282534270327,84.27976812445846,10.87392657030967,0.6805760447758409
199.06500244140625,74.64937591552734,199.06500244140625,73.72382354736328,195.87307988923894,84.09690972087392,10.853077275229914,0.858280945247853
223.9481201171875,74.64937591552734,223.9481201171875,73.4653549194336,220.81789105482454,83.91405142942148,10.907501672733984,1.1142718901608712
248.83123779296875,74.64937591552734,248.83123779296875,74.5259017944336,245.76270222041012,83.73119313796903,9.70326230086697,0.05209034160756742
273.7143859863281,74.64937591552734,273.7143859863281,75.38506317138672,270.707543979237,83.5483346222524,8.699430994963196,0.810435780433423
298.5975036621094,74.64937591552734,298.5975036621094,75.16984558105469,295.6523551448226,83.36547633079996,8.708746360702374,0.5976759818503262
323.4806213378906,74.64937591552734,323.4806213378906,75.0797348022461,320.59716631040817,83.18261803934752,8.600641234792501,0.5100147838896816
348.3637390136719,74.64937591552734,348.3637390136719,74.80570983886719,345.5419774759938,82.99975974789507,8.666302099924694,0.23847361748831417
373.24688720703125,74.64937591552734,373.24688720703125,74.8200912475586,370.4868192348207,82.81690123217844,8.459724885676724,0.2552842014031918
124.41561889648438,99.53250122070312,122.76359558105469,99.93225860595703,121.2214741467593,109.59030363339136,9.780387122709518,1.699359685966098
124.41561889648438,124.41561889648438,124.41561889648438,125.37152099609375,121.40433243821175,134.53511479897696,9.645688027197215,0.9959611520511608
149.2987518310547,124.41561889648438,149.2987518310547,124.25621032714844,146.34915890041802,134.35225639539243,10.518091303490705,0.11759474611356167
174.18186950683594,124.41561889648438,174.18186950683594,124.94959259033203,171.29397006600362,134.16939810393998,9.661510072918993,0.5789636350975167
199.06500244140625,124.41561889648438,199.06500244140625,124.27554321289062,196.23879652820986,133.98653970035545,10.11389601703223,0.09331455310551305
223.9481201171875,124.41561889648438,223.9481201171875,124.60374450683594,221.18360769379547,133.803681408903,9.606319167147438,0.23810307238072162
248.83123779296875,124.41561889648438,248.83123779296875,124.5201187133789,246.12841885938104,133.62082311745056,9.493579453401615,0.15697965196825597
273.7143859863281,124.41561889648438,273.7143859863281,124.76225280761719,271.07326061820794,133.43796460173394,9.068821221344287,0.40140408487404916
298.5975036621094,124.41561889648438,298.5975036621094,124.42256164550781,296.0180717837935,133.2551063102815,9.201484340588427,0.06446822551921724
323.4806213378906,124.41561889648438,323.4806213378906,123.84052276611328,320.9628829493791,133.07224801882904,9.568895324676435,0.5155325300625817
348.3637390136719,124.41561889648438,348.3637390136719,124.7131576538086,345.9076941149647,132.8893897273766,8.537149844374733,0.35963083471379736
373.24688720703125,124.41561889648438,373.24688720703125,124.4317855834961,370.8525358737916,132.70653121165998,8.614193724185897,0.08079569400858003
398.1300048828125,124.41561889648438,398.1300048828125,124.40095520019531,395.7973470393772,132.52367292020753,8.451025723161699,0.05242019678975875
423.01312255859375,124.41561889648438,423.01312255859375,124.57937622070312,420.7421582049628,132.34081462875508,8.086853854092249,0.23318593540882282
447.896240234375,124.41561889648438,447.896240234375,124.83322143554688,445.6869693705484,132.15795633730264,7.650661352507512,0.4894714611592323
472.7793884277344,124.41561889648438,472.7793884277344,125.06517028808594,470.6318111293753,131.975097821586,7.2359648127011615,0.7238703183960487
497.6624755859375,124.41561889648438,497.6624755859375,124.08499145507812,495.57659170171956,131.79223975439774,7.984521771891239,0.25385647626477487
522.5455932617188,124.41561889648438,522.5455932617188,124.89789581298828,520.5214028673051,131.6093814629453,7.010091752781501,0.5615013128636261
547.4287719726562,124.41561889648438,547.4287719726562,124.67350006103516,545.4662752193734,131.42652272296448,7.0324041820117715,0.3395612485506277
99.53250122070312,149.2987518310547,99.53250122070312,149.0387725830078,96.6423796762107,159.66279955263565,11.010120416840087,0.2328401110177822
124.41561889648438,149.2987518310547,124.41561889648438,149.46444702148438,121.58719084179629,159.4799412611832,10.40721529161317,0.1960627783161719
149.2987518310547,149.2987518310547,149.2987518310547,149.48876953125,146.53201730400255,159.29708285759867,10.1910661979506,0.22274536588492708
174.18186950683594,149.2987518310547,174.18186950683594,149.3607177734375,171.47682846958816,159.11422456614622,10.121666946141318,0.09744096478447038
199.06500244140625,149.2987518310547,199.06500244140625,149.1483154296875,196.4216549317944,158.9313661625617,10.13387229535489,0.11354082092661703
223.9481201171875,149.2987518310547,223.9481201171875,149.1492462158203,221.36646609738,158.74850787110924,9.940360245216898,0.11009786709380412
248.83123779296875,149.2987518310547,248.83123779296875,149.39112854003906,246.31127726296558,158.5656495796568,9.514306983651634,0.13486620925636145
273.7143859863281,149.2987518310547,273.7143859863281,149.40765380859375,271.25611902179253,158.38279106394018,9.305706057104663,0.15377053068988245
298.5975036621094,149.2987518310547,298.5975036621094,149.35354614257812,296.2009301873781,158.19993277248773,9.165267089704964,0.10214876783210024
323.4806213378906,149.2987518310547,323.4806213378906,149.2341766357422,321.1457413529637,158.01707448103528,9.087956816846486,0.01603881349096655
348.3637390136719,149.2987518310547,348.3637390136719,149.2256622314453,346.0905525185493,157.83421618958283,8.903627243532421,0.021602148226930188
373.24688720703125,149.2987518310547,373.24688720703125,149.5132598876953,371.0353942773762,157.65135767386622,8.433228121851915,0.2690403825890987
398.1300048828125,149.2987518310547,398.1300048828125,149.0790557861328,395.9802054429618,157.46849938241377,8.66050815407283,0.1627729572834863
423.01312255859375,149.2987518310547,423.01312255859375,149.35336303710938,420.92501660854737,157.28564109096132,8.202513126002318,0.11404369345747038
447.896240234375,149.2987518310547,447.896240234375,149.51657104492188,445.869827774133,157.10278279950887,7.852194358550862,0.27968421128377446
472.7793884277344,149.2987518310547,472.7793884277344,149.3831787109375,470.8146695329599,156.91992428379226,7.788623380638558,0.14874229236744502
497.6624755859375,149.2987518310547,497.6624755859375,149.32972717285156,495.75945010530415,156.73706621660398,7.647887138879517,0.09774224453210889
522.5455932617188,149.2987518310547,522.5455932617188,149.43856811523438,520.7042612708897,156.55420792515156,7.350022680572409,0.20903840341564706
547.4287719726562,149.2987518310547,547.4287719726562,149.51353454589844,545.649133622958,156.37134918517071,7.084965369169708,0.2864613331960465
572.3118896484375,149.2987518310547,572.3118896484375,149.5026092529297,570.5939447885435,156.1884908937183,6.903068003161384,0.2779960030023829
597.1950073242188,149.2987518310547,597.1950073242188,149.4481201171875,595.5387559541291,156.00563260226585,6.763441327673528,0.22597428136845327
622.078125,149.2987518310547,622.078125,149.39549255371094,620.4835671197147,155.8227743108134,6.622126970903077,0.17582623511674916
646.9612426757812,149.2987518310547,646.9612426757812,149.32691955566406,645.4283782853003,155.63991601936095,6.496429603270871,0.10977507874729893
124.41561889648438,174.18186950683594,124.41468048095703,174.54493713378906,121.77004913324873,184.4247524267688,10.22765003256749,0.38319625569018856
149.2987518310547,174.18186950683594,149.29855346679688,174.2891082763672,146.714875595455,184.24189402318427,10.282671611254878,0.13012599397461794
174.18186950683594,174.18186950683594,174.18161010742188,174.1518096923828,171.6596867610406,184.05903573173183,10.223170993374708,0.011362860522832913
199.06500244140625,174.18186950683594,199.06492614746094,174.26498413085938,196.60451322324684,183.8761773281473,9.921122236583587,0.11084499025672628
223.9481201171875,174.18186950683594,223.94833374023438,174.2332763671875,221.54932438883245,183.69331903669485,9.75949041584721,0.08167312110283048
248.83123779296875,174.18186950683594,248.83135986328125,174.24827575683594,246.49413555441802,183.5104607452424,9.55252261077686,0.0989603868851265
273.7143859863281,174.18186950683594,273.7143859863281,174.11801147460938,271.43897731324495,183.32760222952575,9.486519198451207,0.030002966204746916
298.5975036621094,174.18186950683594,298.5973815917969,174.2069091796875,296.3837884788305,183.1447439380733,9.207870798288901,0.06247164471022298
323.4806213378906,174.18186950683594,323.4806213378906,174.1713104248047,321.3285996444161,182.96188564662089,9.050160777554941,0.029517696274810937
348.3637390136719,174.18186950683594,348.3637390136719,174.31204223632812,346.27341081000174,182.77902735516844,8.72119882824157,0.17227576688796298
373.24688720703125,174.18186950683594,373.24688720703125,174.181640625,371.21825256882863,182.5961688394518,8.655613413682518,0.044418891978281964
398.1300048828125,174.18186950683594,398.1300048828125,174.0694122314453,396.1630637344142,182.41331054799934,8.572601507025485,0.06556704476784497
423.01312255859375,174.18186950683594,423.01312255859375,174.18153381347656,421.1078748999998,182.23045225654693,8.271339476999842,0.04910737354770066
447.896240234375,174.18186950683594,447.896240234375,174.29132080078125,446.0526860655854,182.04759396509448,7.972356324996204,0.1613117594758877
472.7793884277344,174.18186950683594,472.7793884277344,174.29159545898438,470.9975278244123,181.86473544937783,7.7799406504013815,0.16403571276276455
497.6624755859375,174.18186950683594,497.6624755859375,174.15782165527344,495.9423083967566,181.68187738218958,7.718185650816794,0.03271924875453895
522.5455932617188,174.18186950683594,522.5455932617188,174.3738555908203,520.8871195623421,181.49901909073714,7.315633254344484,0.25120541863750795
547.4287719726562,174.18186950683594,547.4287719726562,174.46014404296875,545.8319919144104,181.31616035075632,7.039507523048799,0.3399503417265518
572.3118896484375,174.18186950683594,572.3118896484375,174.70994567871094,570.776803079996,181.13330205930387,6.6042409075315875,0.5922056206689144
597.1950073242188,174.18186950683594,597.1950073242188,174.8207550048828,595.7216142455816,180.95044376785143,6.304281996789135,0.7054708221010914
622.078125,174.18186950683594,622.078125,174.5810546875,620.6664254111672,180.76758547639898,6.345554265082418,0.4682367523491368
646.9612426757812,174.18186950683594,646.9612426757812,174.28175354003906,645.6112365767527,180.58472718494656,6.445928423106534,0.17145561474210425
671.8443603515625,174.18186950683594,671.8443603515625,174.1096649169922,670.5560477423384,180.4018688934941,6.4227393113057705,0.006656372840980275
696.7274780273438,174.18186950683594,696.7274780273438,174.21212768554688,695.500858907924,180.21901060204166,6.130843077147141,0.10689203321360775
721.610595703125,174.18186950683594,721.610595703125,174.519287109375,720.4456700735095,180.03615231058922,5.638515174308162,0.4163360447845155
124.41561889648438,199.06500244140625,122.10340118408203,200.36212158203125,121.95290753683327,209.36957888897504,9.00871441851041,2.645957024119587
746.4937744140625,199.06500244140625,744.9432983398438,201.5198211669922,745.5734008291623,204.79812003281464,3.3383038508647207,2.968884050668159
796.260009765625,199.06500244140625,794.0686645507812,200.17996215820312,795.4630231603335,204.43240344990977,4.475208695853648,2.5038573569633624
99.53250122070312,223.9481201171875,99.53250122070312,224.20648193359375,97.19095466270012,234.4972483460131,10.55380090954315,0.2561529721812905
124.41561889648438,223.9481201171875,124.41561889648438,224.11241149902344,122.13576582828571,234.31439005456065,10.453616429744107,0.16463478957968747
149.2987518310547,223.9481201171875,149.2987518310547,224.13299560546875,147.08059229049198,234.13153165097611,10.241628522881477,0.18757622879829525
174.18186950683594,223.9481201171875,174.18186950683594,224.1447296142578,172.02540345607758,233.94867335952367,10.038309558307654,0.20170135189003735
199.06500244140625,223.9481201171875,199.06500244140625,224.2065887451172,196.97022991828382,233.76581495593913,9.786055266208853,0.2659297288489221
223.9481201171875,223.9481201171875,223.9481201171875,224.01431274414062,221.91504108386943,233.5829566644867,9.782247023567399,0.07637174189267489
248.83123779296875,223.9481201171875,248.83123779296875,224.0597381591797,246.859852249455,233.40009837303424,9.5461348139303,0.12404221995144124
273.7143859863281,223.9481201171875,273.7143859863281,224.00714111328125,271.8046940082819,233.2172398573176,9.406000336270138,0.07395873832603764
298.5975036621094,223.9481201171875,298.5975036621094,224.04393005371094,296.7495051738675,233.03438156586515,9.178415811290106,0.1130672515470129
323.4806213378906,223.9481201171875,323.4806213378906,224.01824951171875,321.69431633945305,232.85152327441273,9.012081386346933,0.08982640763048123
348.3637390136719,223.9481201171875,348.3637390136719,224.02772521972656,346.6391275050387,232.66866498296028,8.811363393229428,0.10170783453073756
373.24688720703125,223.9481201171875,373.24688720703125,224.00437927246094,371.5839692638656,232.48580646724363,8.642910583021314,0.08079821726043572
398.1300048828125,223.9481201171875,398.1300048828125,223.9331817626953,396.52878042945116,232.3029481757912,8.52155558333278,0.012170103256488415
423.01312255859375,223.9481201171875,423.01312255859375,223.93931579589844,421.47359159503674,232.12008988433877,8.324375068066521,0.02062360901765206
447.896240234375,223.9481201171875,447.896240234375,224.21629333496094,446.41840276062237,231.93723159288632,7.861099870980103,0.30002130068939303
472.7793884277344,223.9481201171875,472.7793884277344,224.0818328857422,471.36324451944927,231.75437307716967,7.802136666198764,0.1680144586050955
497.6624755859375,223.9481201171875,497.6624755859375,224.0072784423828,496.3080250917935,231.57151500998143,7.684543642382604,0.09592176980535799
522.5455932617188,223.9481201171875,522.5455932617188,223.95162963867188,521.2528362573792,231.38865671852898,7.548549030031992,0.042772671061202895
547.4287719726562,223.9481201171875,547.4287719726562,223.967529296875,546.1977086094474,231.20579797854816,7.342210192600423,0.06114434306025754
572.3118896484375,223.9481201171875,572.3118896484375,224.30865478515625,571.142519775033,231.02293968709571,6.815353816584904,0.4046661024884519
597.1950073242188,223.9481201171875,597.1950073242188,224.2880859375,596.0873309406186,230.84008139564327,6.644967377972261,0.38656044837395
622.078125,223.9481201171875,622.078125,224.0652618408203,621.0321421062042,230.65722310419082,6.674431324981229,0.16625336703786842
646.9612426757812,223.9481201171875,646.9612426757812,224.07835388183594,645.9769532717897,230.4743648127384,6.471304463478269,0.18181806649181684
671.8443603515625,223.9481201171875,671.8443603515625,224.0951690673828,670.9217644373754,230.29150652128595,6.264645326234969,0.20110393187262127
696.7274780273438,223.9481201171875,696.7274780273438,224.21539306640625,695.866575602961,230.1086482298335,5.955804681616926,0.32375149004886916
721.610595703125,223.9481201171875,721.610595703125,224.36328125,720.8113867685465,229.92578993838106,5.619629687926493,0.47407580009240013
746.4937744140625,223.9481201171875,746.4937744140625,224.07537841796875,745.7562591206148,229.74293119840024,5.715337551452756,0.18879422223378622
771.3768310546875,223.9481201171875,771.3768310546875,224.05166625976562,770.7010090997178,229.56007335547616,5.549710266932255,0.16761800817899536
