Longitude,Latitude,Pixel,Scan,Longitude180,TMC_X,TMC_Y,Inside_TMC_BBox,Coarse_Valid_Overlap
55.5644517,-89.9231318,0,0,55.564451700000006,1922.4410579645812,1318.0755601235348,True,False
56.3265402,-89.9230478,100,0,56.32654020000001,1941.9219274490156,1293.8017199456287,True,False
57.0867686,-89.9229502,200,0,57.0867686,1961.4018136444731,1269.5303512589855,True,False
57.8448772,-89.9228391,300,0,57.844877199999985,1980.8795792060732,1245.2606967258546,True,False
58.6006109,-89.9227145,400,0,58.60061089999999,2000.3568160101777,1220.9937406051567,True,False
59.3537193,-89.9225766,500,0,59.353719299999995,2019.830118168661,1196.7274009671662,True,False
60.1039576,-89.9224253,600,0,60.1039576,2039.3040342810207,1172.464399546047,True,False
60.8510865,-89.9222608,700,0,60.85108650000001,2058.77546693633,1148.20289026401,True,True
61.5948732,-89.9220832,800,0,61.594873199999995,2078.2440610928575,1123.9427102025454,True,False
62.3350913,-89.9218926,900,0,62.33509129999999,2097.709606965867,1099.6838033751046,True,False
63.0715213,-89.9216889,1000,0,63.0715213,2117.177450328253,1075.4289487235,True,False
63.8039512,-89.9214725,1100,0,63.8039512,2136.639623939258,1051.174019612542,True,False
64.5321762,-89.9212433,1200,0,64.53217619999998,2156.1017807136714,1026.9218987268637,True,False
65.2559994,-89.9210015,1300,0,65.25599940000001,2175.5615905743734,1002.6714285897817,True,False
65.975232,-89.9207472,1400,0,65.975232,2195.0195683187467,978.4228586880315,True,False
66.6896931,-89.9204805,1500,0,66.6896931,2214.4763590334665,954.1764755830355,True,False
67.3992105,-89.9202015,1600,0,67.39921049999998,2233.932744097354,929.9325673985637,True,False
68.1036201,-89.9199105,1700,0,68.1036201,2253.3839961062035,905.6891797059216,True,False
68.8027664,-89.9196074,1800,0,68.8027664,2272.836706776365,881.4490130864784,True,False
69.4965027,-89.9192925,1900,0,69.49650270000001,2292.286331990989,857.210223297754,True,False
70.1846905,-89.9189659,2000,0,70.18469049999999,2311.734030283518,832.9732917009085,True,False
70.8672004,-89.9186278,2100,0,70.8672004,2331.1782049583585,808.7376571422622,True,False
71.543911,-89.9182782,2200,0,71.54391099999998,2350.6230518006096,784.5048016969967,True,False
72.21471,-89.9179174,2300,0,72.21471,2370.0642456946935,760.2732276499687,True,False
72.8794931,-89.9175454,2400,0,72.87949309999999,2389.506142431027,736.0443548930168,True,False
73.5381644,-89.9171625,2500,0,73.5381644,2408.9444898417682,711.8168358764099,True,False
74.1906365,-89.9167688,2600,0,74.19063649999998,2428.3808611220443,687.5911721951437,True,False
74.8368298,-89.9163644,2700,0,74.8368298,2447.8168862471757,663.3678145287395,True,False
75.4766725,-89.9159495,2800,0,75.4766725,2467.2513101755385,639.1463930213303,True,False
76.1101009,-89.9155243,2900,0,76.11010090000002,2486.682892112093,614.9265851478764,True,False
76.7370586,-89.915089,3000,0,76.73705860000001,2506.1103943836333,590.7081378706299,True,True
77.3574966,-89.9146436,3100,0,77.35749659999999,2525.538499520339,566.4921785856953,True,True
77.9713729,-89.9141883,3200,0,77.9713729,2544.966010727712,542.2783750727896,True,True
78.5786525,-89.9137233,3300,0,78.57865249999998,2564.39172129527,518.0664440582755,True,True
79.1793073,-89.9132488,3400,0,79.1793073,2583.814411861115,493.8561429615098,True,True
79.7733152,-89.912765,3500,0,79.77331520000001,2603.2328409605843,469.64729775728154,True,True
80.3606605,-89.9122719,3600,0,80.3606605,2622.6517265798193,445.4407882555117,True,False
80.9413336,-89.9117697,3700,0,80.94133360000001,2642.0698139282385,421.2363360141965,True,False
81.5153304,-89.9112586,3800,0,81.51533039999998,2661.485814369422,397.0337204368603,True,False
82.0826523,-89.9107387,3900,0,82.0826523,2680.901408184609,372.8331844147862,True,False
82.6433059,-89.9102103,4000,0,82.64330589999997,2700.31223922411,348.6341242207084,True,False
83.1973027,-89.9096734,4100,0,83.19730270000002,2719.7229277877086,324.4371815988133,True,False
83.744659,-89.9091282,4200,0,83.74465900000001,2739.132050642544,300.2421497895592,True,False
84.2853955,-89.9085749,4300,0,84.28539549999999,2758.538136608254,276.04887566645755,True,False
84.8195372,-89.9080136,4400,0,84.81953720000001,2777.942685681342,251.85752689378,True,False
85.3471128,-89.9074444,4500,0,85.34711279999999,2797.3471556546356,227.66822461521753,True,True
85.8681552,-89.9068676,4600,0,85.86815519999999,2816.7469123851956,203.48057443866236,True,True
86.3827004,-89.9062832,4700,0,86.38270039999998,2836.1463355370065,179.29494070571732,True,True
86.8907879,-89.9056914,4800,0,86.89078790000002,2855.5437074073043,155.11118829344258,True,True
87.3924602,-89.9050923,4900,0,87.39246020000002,2874.9402805279265,130.92938246037866,True,True
87.8877627,-89.9044861,5000,0,87.8877627,2894.3342226280997,106.74942934632776,True,True
88.3767435,-89.9038729,5100,0,88.37674349999998,2913.7266721188607,82.57138052273869,True,True
88.8594531,-89.9032528,5200,0,88.8594531,2933.118709365428,58.3952505397915,True,True
89.3359443,-89.902626,5300,0,89.3359443,2952.5083227987616,34.2209808651681,True,True
89.8062719,-89.9019926,5400,0,89.80627190000001,2971.896470872325,10.048594427792374,True,True
90.2704928,-89.9013528,5500,0,90.2704928,2991.2810181283967,-14.121912578269812,True,True
90.7286654,-89.9007066,5600,0,90.72866540000001,3010.665831192536,-38.29053937393469,True,True
91.1808498,-89.9000543,5700,0,91.18084980000003,3030.0456173274943,-62.45722598410284,True,True
91.6271076,-89.8993958,5800,0,91.62710759999999,3049.4271480919447,-86.62209313068186,True,True
92.0675015,-89.8987314,5900,0,92.06750149999999,3068.805004641444,-110.78502272387928,True,True
92.5020955,-89.8980611,6000,0,92.5020955,3088.182797948684,-134.94613358402177,True,True
92.9309545,-89.8973851,6100,0,92.93095449999998,3107.558014206508,-159.10533538203188,True,True
93.3541443,-89.8967035,6200,0,93.35414430000003,3126.9311066749506,-183.26263806703517,True,True
93.7717313,-89.8960164,6300,0,93.7717313,3146.302465178,-207.41805320571015,True,True
94.1837828,-89.8953239,6400,0,94.18378280000002,3165.672414907798,-231.57161397557974,True,True
94.5903663,-89.8946262,6500,0,94.59036630000003,3185.038196197563,-255.7230975012715,True,True
94.99155,-89.8939232,6600,0,94.99155000000002,3204.4060549098267,-279.87300513769884,True,True
95.3874024,-89.8932152,6700,0,95.38740239999998,3223.7700841877745,-304.02086652768946,True,True
95.7779919,-89.8925022,6800,0,95.77799190000002,3243.133383286149,-328.16693950023836,True,True
96.1633874,-89.8917844,6900,0,96.16338740000003,3262.4929511800074,-352.31092871297875,True,True
96.5436578,-89.8910618,7000,0,96.5436578,3281.8517608908833,-376.4531396098623,True,True
96.9188718,-89.8903345,7100,0,96.91887180000003,3301.2097083455633,-400.59357342174934,True,True
97.2890982,-89.8896027,7200,0,97.28909820000001,3320.5636220953143,-424.7318465369863,True,False
97.6544056,-89.8888663,7300,0,97.65440560000002,3339.9192996230786,-448.86869526258107,True,False
98.0148622,-89.8881256,7400,0,98.01486219999998,3359.2704524917945,-473.003292661753,True,False
98.3705364,-89.8873806,7500,0,98.37053639999999,3378.6197543563944,-497.1359975399601,True,False
98.7214957,-89.8866313,7600,0,98.72149569999999,3397.9698190174527,-521.267193231286,True,False
99.0678076,-89.8858779,7700,0,99.06780759999998,3417.317204113533,-545.3963835313701,True,False
99.4095392,-89.8851205,7800,0,99.40953919999998,3436.661418008933,-569.52347709061,True,False
99.7467568,-89.8843591,7900,0,99.74675680000001,3456.0049105374615,-593.6488553290613,True,False
100.079527,-89.8835938,8000,0,100.07952699999998,3475.3470764373565,-617.7724652682749,True,False
100.407914,-89.8828247,8100,0,100.407914,3494.687282073782,-641.8941172800992,True,False
100.731984,-89.8820519,8200,0,100.73198400000001,3514.0248191249234,-666.013752985723,True,False
101.051801,-89.8812754,8300,0,101.05180100000001,3533.3619267927725,-690.1317729647669,True,False
101.367429,-89.8804954,8400,0,101.36742900000002,3552.6948339029495,-714.2474603813071,True,False
101.67893,-89.8797118,8500,0,101.67892999999998,3572.028664596421,-738.3617635565358,True,False
101.986368,-89.8789248,8600,0,101.98636799999997,3591.359541990792,-762.4740079408051,True,False
102.289803,-89.8781344,8700,0,102.289803,3610.689529999852,-786.5845105404628,True,False
102.589298,-89.8773408,8800,0,102.58929799999999,3630.014670800579,-810.6925318667254,True,False
102.884911,-89.8765438,8900,0,102.88491099999999,3649.342864670378,-834.7996756731213,True,False
103.176703,-89.8757437,9000,0,103.17670299999997,3668.667118280904,-858.9044765380027,True,False
103.464733,-89.8749405,9100,0,103.46473300000002,3687.989293750799,-883.0073562374783,True,False
103.749059,-89.8741343,9200,0,103.74905899999999,3707.308262206221,-907.1080276749458,True,False
104.029738,-89.873325,9300,0,104.02973800000001,3726.6287485715484,-931.2076261200083,True,False
104.306826,-89.8725129,9400,0,104.306826,3745.9436674720214,-955.3043554202079,True,False
104.58038,-89.8716978,9500,0,104.58037999999999,3765.260574535415,-979.400205248308,True,False
104.850455,-89.87088,9600,0,104.85045500000001,3784.5723153912786,-1003.4933340593079,True,False
105.117104,-89.8700593,9700,0,105.11710399999998,3803.8863940101596,-1027.5856288587718,True,False
