source_x,source_y,reference_x,reference_y,confidence,final_residual_px
876.0,80.0,876.2254074813172,79.93457412027536,0.35744557,0.06867376896057914
916.0,88.0,916.3370099578605,87.82245936113182,0.5855059,0.1084216036388247
878.0,80.0,878.2777313287675,79.76169524872329,0.721746,0.1172224646094692
910.0,80.0,910.3135577005411,79.75252556354825,0.7921855,0.13009883143348847
918.0,88.0,918.1102112423841,87.89398252310758,0.45943978,0.1302370479357685
910.0,76.0,910.1138216261086,75.91944416690312,0.73124003,0.1307855462263734
892.0,64.0,892.1012900746147,63.74098569355125,0.5586791,0.15273560666221167
892.0,72.0,892.2488694330004,72.01417200014507,0.5971761,0.16462777913056245
645.0,212.0,645.7757847254986,211.9911494929024,0.7389848,0.47167103369252633
624.0,236.0,623.74225,236.14825,0.45087105,0.5885449896295846
592.0,252.0,591.7661,252.03604,0.80550194,0.578503969025272
589.0,260.0,589.3047,260.8399,0.278745,0.7152423136905145
661.0,572.0,661.4864856134262,572.3497625932994,0.2633307,0.1436893954901887
653.0,572.0,654.020160107475,572.592195247797,0.615115,0.5223715726290717
656.0,572.0,656.9876447748454,572.6450401848331,0.52721655,0.5332268581631818
653.0,572.0,653.7054303849982,572.9814383347725,0.46976137,0.7139401053290476
661.0,572.0,660.621617045855,572.0191940411792,0.8794983,1.0160424200270568
648.0,572.0,648.048481132007,573.1388448649525,0.35993266,1.0257579927062117
846.0,80.0,846.2152016943845,79.99717019404994,0.9742565,0.11514963789525823
862.0,64.0,861.9176011255641,63.818789989305245,0.45157218,0.29363656574486335
846.0,72.0,846.305051615208,72.16557864066961,0.91282934,0.30254971035434697
838.0,72.0,838.3000588821586,72.18098483031798,0.96612656,0.31190744066856946
860.0,64.0,859.9498326700282,64.13897410737474,0.8783857,0.37600026211726334
860.0,64.0,860.4799951696782,64.13201991521434,0.30539778,0.38134781378464416
844.0,76.0,844.2254562576725,76.3263178983121,0.91453755,0.44559277638699973
852.0,72.0,852.4968499825571,71.51848383204992,0.32417214,0.45481533689974746
640.0,500.0,640.3348523402555,499.69935394377154,0.9754685,0.5795314533617869
637.0,500.0,637.4445972026359,499.48172286408646,0.97987336,0.7657827102722735
637.0,500.0,637.7616831231695,499.45378112187046,0.9757773,0.8163049656355712
645.0,500.0,645.6791585568723,499.2550255666746,0.8623228,0.9905459607681472
640.0,500.0,640.5429261832242,499.14353484432314,0.7965124,1.0957216831268288
648.0,500.0,648.5871548852249,498.7549876097682,0.20018424,1.480536570907652
934.0,104.0,934.4488990064018,103.87445698092503,0.31043604,0.20395148492392026
934.0,108.0,934.3820823448178,108.21284288430293,0.40498772,0.38500642705483346
934.0,104.0,934.7557184046951,104.18351746858434,0.3361698,0.6092669333733329
934.0,108.0,934.8693534065156,108.04260567736924,0.3090443,0.6484032976184912
916.0,160.0,916.6422,159.21284,0.34403968,0.7641853012439828
910.0,192.0,910.50665,192.70947,0.47088987,0.8184094580819451
908.0,192.0,908.4195,192.72816,0.597772,0.8201431771160754
950.0,124.0,950.2355,124.99068,0.67237526,1.1389805864857545
844.0,796.0,844.8502,796.2224,0.42384169,0.09280397249106023
854.0,764.0,855.0534,764.442,0.62140566,0.3185154432772063
846.0,792.0,846.4526,792.34814,0.6108482,0.35252594048611924
846.0,788.0,846.8878,787.8592,0.4694764,0.4474322424456646
852.0,768.0,852.49115,768.68164,0.25975212,0.4941372364497003
766.0,800.0,766.8811,800.9243,0.5187451,0.5821052930184007
844.0,792.0,844.6943,792.916,0.36529946,0.6242376628734027
774.0,796.0,774.7769,796.9652,0.2204136,0.6245816981262925
718.0,160.0,718.022939054156,159.75157818562022,0.64418775,0.3516574447605886
732.0,148.0,732.0067040131877,148.26007712729538,0.28986233,0.3788831184914139
734.0,148.0,734.6724082023542,148.34097558105697,0.21463673,0.5424715347321794
734.0,148.0,733.9424115745684,148.5616043986576,0.24353464,0.6634510558482434
734.0,148.0,734.5069,148.64523,0.30608612,0.7056210943137161
718.0,164.0,717.7197227658228,163.5297189176927,0.66167,0.7295047688861342
740.0,148.0,741.0521,148.08081,0.56024873,0.7926112763914742
732.0,148.0,731.6195170613698,148.6336012669957,0.44000363,0.9165749930139045
584.0,580.0,584.3243275716305,580.2975155896446,0.5043277,0.28245764627048825
584.0,580.0,584.1850918418141,580.1881753471253,0.35275418,0.44012666604892603
541.0,760.0,541.46356,760.91046,0.22889647,0.5463735588358357
553.0,756.0,554.79535,756.77606,0.61437845,1.1015902671480142
616.0,468.0,616.1258570226678,467.29898044206243,0.21342695,1.013052038242047
576.0,468.0,576.0512,469.4571,0.20415723,1.2882063056863533
