source_x,source_y,reference_x,reference_y,confidence,phase_refined,phase_dx,phase_dy,phase_response,final_residual_px
894.0,60.0,894.4201813772095,59.989757023947455,0.8953374,True,0.28958137720956856,-0.2635769760525477,0.5088411376953125,0.257784119108789
624.0,236.0,623.74225,236.14825,0.45087105,False,5.761452095604437,-4.032375388652216,0.16072332611083984,0.5885449896295846
892.0,56.0,892.6629625546177,55.229498920306106,0.26114944,True,0.478762554617699,-0.8108950796938927,0.36772818832397464,0.7665888301169822
902.0,76.0,902.598857356827,76.2903138148798,0.72178936,True,0.3326173568269404,0.06419381487980402,0.4915892436981201,0.5805105533039334
592.0,252.0,591.7661,252.03604,0.80550194,False,-6.72434728751168,7.8193419259434265,0.15225368270874023,0.578503969025272
656.0,572.0,656.9876447748454,572.6450401848331,0.52721655,True,1.1187447748454176,0.7407401848330508,0.4020177278518677,0.5332268581631818
860.0,64.0,859.9498326700282,64.13897410737474,0.8783857,True,0.11233267002817726,-0.09535589262527111,0.38179955596923826,0.37600026211726334
637.0,500.0,637.7616831231695,499.45378112187046,0.9757773,True,1.0764831231694885,-0.780258878129537,0.35697470836639406,0.8163049656355712
916.0,92.0,916.5265653635051,92.10992394877817,0.2663227,True,0.26789536350511156,-0.2165910512218332,0.4988551055908203,0.3894218701003948
876.0,80.0,876.2254074813172,79.93457412027536,0.35744557,True,0.02746748131723109,-0.022060879724641325,0.5066895938873291,0.06867376896057914
894.0,56.0,894.4879438322574,56.17245078505364,0.28279966,True,0.3957838322574183,-0.2787632149463555,0.36739062976837156,0.4355798394046354
637.0,500.0,637.4445972026359,499.48172286408646,0.97987336,True,0.48652720263590865,-0.562377135913529,0.4173597110748291,0.7657827102722735
836.0,72.0,835.8029879698565,72.4142429672086,0.9835902,True,-0.12501203014345919,-0.03751703279139562,0.6327787490844726,0.6706661826266178
852.0,60.0,852.3617035171222,60.460310083077076,0.93995863,True,0.4458735171222301,0.6171860830770726,0.440761833190918,0.613882013284268
860.0,60.0,859.9509283853271,60.71630894462501,0.5103769,True,0.054078385327088085,0.24365694462501253,0.44039839897155764,0.8902772615192527
894.0,72.0,894.492257197533,71.77000384221327,0.4572829,True,0.5563571975330603,-0.07188615778672869,0.4275324489593506,0.28712135602305466
661.0,572.0,661.4864856134262,572.3497625932994,0.2633307,True,1.1278856134261623,0.3834625932992921,0.301490474319458,0.1436893954901887
640.0,500.0,640.5429261832242,499.14353484432314,0.7965124,True,0.8455261832240808,-1.2511651556768832,0.31829248046875,1.0957216831268288
838.0,72.0,838.3000588821586,72.18098483031798,0.96612656,True,-0.05150111784136868,-0.08400516968201543,0.6115957153320313,0.31190744066856946
918.0,88.0,918.1102112423841,87.89398252310758,0.45943978,True,0.37401124238412464,-0.323307476892424,0.49765072722435,0.1302370479357685
852.0,64.0,852.9299644025041,64.63931220593577,0.9151926,True,0.6474644025040774,0.778957205935761,0.3883541221618652,1.0561724492547995
860.0,64.0,860.4799951696782,64.13201991521434,0.30539778,True,0.050795169678199414,-0.02232008478566172,0.4099473796844482,0.38134781378464416
645.0,500.0,645.6791585568723,499.2550255666746,0.8623228,True,0.6294585568722404,-0.5599744333254328,0.4542974786758423,0.9905459607681472
854.0,60.0,853.8220756024615,60.591600918514715,0.51442456,True,0.2336756024615525,0.4360609185147091,0.4675347095489502,0.8198129122253824
860.0,68.0,859.4376729716635,66.98979415117591,0.65488523,True,-0.37882702833658044,-1.5443158488240805,0.3869345527648926,1.1696956482684566
934.0,108.0,934.3820823448178,108.21284288430293,0.40498772,True,-0.20071765518222762,0.04324288430292711,0.281202260017395,0.38500642705483346
892.0,72.0,892.2488694330004,72.01417200014507,0.5971761,True,-0.26253056699958677,-0.10673799985492138,0.4115747283935547,0.16462777913056245
852.0,776.0,852.4047,775.75543,0.38096303,False,-7.998044398090272,18.71290586934379,0.2141846258163452,0.6563837698537403
910.0,76.0,910.1138216261086,75.91944416690312,0.73124003,True,-0.44342837389136136,-0.2860058330968762,0.4693900161743164,0.1307855462263734
886.0,36.0,885.65906,35.975464,0.9808532,False,2.100937804795482,-5.3557171495622455,0.07951158447265624,0.5462206083980734
732.0,148.0,732.0067040131877,148.26007712729538,0.28986233,True,-0.26923598681232264,0.0866871272953631,0.3562315620422363,0.3788831184914139
661.0,572.0,660.621617045855,572.0191940411792,0.8794983,True,0.10021704585502889,-0.41270595882088656,0.38218249359130857,1.0160424200270568
