reference_x,reference_y,source_x,source_y,residual_dy,residual_dx,residual_magnitude_px,peak_score,ambiguity_ratio,valid_fraction,accepted
876.8681030273438,75.44418334960938,874.9345092773438,67.70465087890625,,,,,,,True
912.6395874023438,74.47674560546875,910.7059936523438,69.63953399658203,,,,,,,True
915.5399780273438,87.0534896850586,914.5731811523438,79.31394958496094,,,,,,,True
810.1591186523438,100.59767150878906,807.2587280273438,99.63023376464844,,,,,,,True
853.6649780273438,149.9372100830078,850.7645874023438,142.1976776123047,,,,,,,True
728.9481811523438,146.06744384765625,727.9813842773438,146.06744384765625,,,,,,,True
803.3915405273438,153.80697631835938,801.4579467773438,150.90464782714844,,,,,,,True
886.5360717773438,165.41627502441406,883.6356811523438,157.67674255371094,,,,,,,True
707.6786499023438,160.57907104492188,705.7450561523438,161.5465087890625,,,,,,,True
862.3661499023438,168.318603515625,858.4989624023438,162.51394653320312,,,,,,,True
698.0106811523438,168.318603515625,696.0770874023438,169.28604125976562,,,,,,,True
841.0966186523438,175.0906982421875,839.1630249023438,169.28604125976562,,,,,,,True
851.7313842773438,185.73255920410156,849.7977905273438,180.8953399658203,,,,,,,True
841.0966186523438,185.73255920410156,839.1630249023438,183.79766845703125,,,,,,,True
719.2802124023438,196.37442016601562,716.3798217773438,196.37442016601562,,,,,,,True
711.5458374023438,204.11395263671875,709.6122436523438,205.08139038085938,,,,,,,True
653.5380859375,222.49534606933594,652.5712890625,222.49534606933594,,,,,,,True
722.1806030273438,227.33255004882812,719.2802124023438,223.46278381347656,,,,,,,True
619.7001953125,224.43023681640625,616.7998046875,226.3651123046875,,,,,,,True
816.9266967773438,234.10464477539062,814.9931030273438,229.26744079589844,,,,,,,True
838.1962280273438,250.55116271972656,834.3290405273438,246.681396484375,,,,,,,True
796.6239624023438,249.58372497558594,792.7567749023438,247.64883422851562,,,,,,,True
728.9481811523438,254.42092895507812,728.9481811523438,254.42092895507812,,,,,,,True
688.3427124023438,256.3558044433594,689.3095092773438,255.38836669921875,,,,,,,True
696.0770874023438,266.0302429199219,695.1102905273438,266.9976806640625,,,,,,,True
729.9149780273438,285.3790588378906,727.9813842773438,285.3790588378906,,,,,,,True
811.1259155273438,291.1837158203125,809.1923217773438,287.31396484375,,,,,,,True
760.8524780273438,289.24884033203125,757.9520874023438,288.2814025878906,,,,,,,True
707.6786499023438,296.02093505859375,705.7450561523438,296.02093505859375,,,,,,,True
780.1884155273438,299.89068603515625,778.2548217773438,296.9883728027344,,,,,,,True
768.5868530273438,304.7279052734375,767.6200561523438,302.79302978515625,,,,,,,True
809.1923217773438,305.6953430175781,808.2255249023438,302.79302978515625,,,,,,,True
789.8563842773438,315.3697509765625,788.8895874023438,310.5325622558594,,,,,,,True
817.8934936523438,319.2395324707031,815.9598999023438,315.3697509765625,,,,,,,True
742.4833374023438,317.3046569824219,741.5165405273438,317.3046569824219,,,,,,,True
826.5946655273438,324.0767517089844,825.6278686523438,317.3046569824219,,,,,,,True
783.0888061523438,324.0767517089844,779.2216186523438,319.2395324707031,,,,,,,True
525.9208984375,322.141845703125,523.9873046875,322.141845703125,,,,,,,True
753.1181030273438,324.0767517089844,751.1845092773438,323.10931396484375,,,,,,,True
620.6669921875,325.044189453125,622.6005859375,326.0116271972656,,,,,,,True
568.4599609375,328.9139404296875,568.4599609375,327.9465026855469,,,,,,,True
559.7587890625,330.8488464355469,557.8251953125,332.7837219238281,,,,,,,True
553.9580078125,336.6534729003906,552.0244140625,336.6534729003906,,,,,,,True
700.9110717773438,344.39300537109375,700.9110717773438,340.52325439453125,,,,,,,True
585.8623046875,338.58837890625,584.8955078125,341.4906921386719,,,,,,,True
800.4911499023438,356.9697570800781,800.4911499023438,354.06744384765625,,,,,,,True
814.9931030273438,358.9046630859375,811.1259155273438,356.0023193359375,,,,,,,True
583.9287109375,357.93719482421875,581.9951171875,357.93719482421875,,,,,,,True
576.1943359375,363.7418518066406,574.2607421875,367.61163330078125,,,,,,,True
830.4618530273438,375.3511657714844,828.5282592773438,370.5139465332031,,,,,,,True
550.0908203125,371.48138427734375,549.1240234375,371.48138427734375,,,,,,,True
640.0029296875,371.48138427734375,641.9365234375,371.48138427734375,,,,,,,True
501.7509460449219,382.1232604980469,501.7509460449219,385.02557373046875,,,,,,,True
518.1865234375,401.4720764160156,518.1865234375,401.4720764160156,,,,,,,True
526.8876953125,412.11395263671875,526.8876953125,412.11395263671875,,,,,,,True
586.8291015625,415.0162658691406,585.8623046875,415.0162658691406,,,,,,,True
614.8662109375,420.8209228515625,612.9326171875,419.8534851074219,,,,,,,True
651.6044921875,421.7883605957031,648.7041015625,422.75579833984375,,,,,,,True
629.3681640625,424.6907043457031,629.3681640625,425.65814208984375,,,,,,,True
615.8330078125,431.4627990722656,615.8330078125,431.4627990722656,,,,,,,True
663.2060546875,443.07208251953125,662.2392578125,444.0395202636719,,,,,,,True
696.0770874023438,451.779052734375,696.0770874023438,449.84417724609375,,,,,,,True
633.2353515625,453.7139587402344,633.2353515625,455.6488342285156,,,,,,,True
679.6415405273438,460.4860534667969,677.7079467773438,461.4534912109375,,,,,,,True
619.7001953125,465.3232421875,618.7333984375,465.3232421875,,,,,,,True
585.8623046875,473.0627746582031,585.8623046875,474.0302429199219,,,,,,,True
696.0770874023438,477.8999938964844,695.1102905273438,474.9976806640625,,,,,,,True
724.1141967773438,478.867431640625,726.0477905273438,477.8999938964844,,,,,,,True
614.8662109375,478.867431640625,614.8662109375,479.8348693847656,,,,,,,True
602.2978515625,491.4441833496094,602.2978515625,492.41162109375,,,,,,,True
625.5009765625,495.3139343261719,626.4677734375,496.2814025878906,,,,,,,True
680.6083374023438,498.2162780761719,680.6083374023438,499.1837158203125,,,,,,,True
632.2685546875,504.9883728027344,632.2685546875,504.9883728027344,,,,,,,True
757.9520874023438,527.239501953125,757.9520874023438,525.3046264648438,,,,,,,True
720.2470092773438,528.2069702148438,719.2802124023438,528.2069702148438,,,,,,,True
695.1102905273438,537.8814086914062,695.1102905273438,537.8814086914062,,,,,,,True
732.8153686523438,544.6535034179688,731.8485717773438,542.7186279296875,,,,,,,True
669.9736328125,555.2953491210938,669.9736328125,555.2953491210938,,,,,,,True
517.2197265625,558.1976928710938,517.2197265625,558.1976928710938,,,,,,,True
525.9208984375,562.0674438476562,525.9208984375,562.0674438476562,,,,,,,True
665.1396484375,562.0674438476562,662.2392578125,562.0674438476562,,,,,,,True
646.7705078125,565.9371948242188,646.7705078125,565.9371948242188,,,,,,,True
578.1279296875,573.6767578125,580.0615234375,573.6767578125,,,,,,,True
614.8662109375,575.6116333007812,613.8994140625,573.6767578125,,,,,,,True
715.4130249023438,580.4488525390625,716.3798217773438,579.4813842773438,,,,,,,True
732.8153686523438,583.3511352539062,732.8153686523438,583.3511352539062,,,,,,,True
791.7899780273438,590.1232299804688,792.7567749023438,588.1883544921875,,,,,,,True
661.2724609375,591.0906982421875,663.2060546875,592.05810546875,,,,,,,True
712.5126342773438,605.602294921875,712.5126342773438,606.5697631835938,,,,,,,True
701.8778686523438,610.4395141601562,698.9774780273438,609.4721069335938,,,,,,,True
913.6063842773438,701.3790893554688,913.6063842773438,696.5418701171875,,,,,,,True
