rank,candidate_id,method,representation,initial_translation_magnitude_px,recovered_translation_magnitude_px,distinct_candidates,ransac_inliers,ransac_inlier_ratio,coverage_cells,valid_coverage_cells,coverage_ratio,ransac_self_rmse_px,shape_sane,verification_score
1,lightglue_intensity,lightglue,intensity,1.0987515391725285e-14,0.49356533379158446,5360,3415,0.6371268656716418,25,30,0.8333333333333334,1.452576769478234,True,1248.2347990060682
2,loftr_gradient,loftr,gradient,0.04742889072462508,0.07348202057240828,5136,3393,0.6606308411214953,24,30,0.8,1.4710342350682377,True,1219.0174180800109
3,loftr_intensity,loftr,intensity,0.12271248608245529,0.19495623423208208,5176,3083,0.5956336939721792,24,30,0.8,1.414141539800204,True,1038.842931536075
4,lightglue_gradient,lightglue,gradient,1.3080733782237345e-13,0.4212977125407216,5228,3011,0.5759372609028309,24,30,0.8,1.4498031016698967,True,956.9007491188382
5,sift_gradient,sift,gradient,817.7857624547626,816.021376859441,548,283,0.5164233576642335,5,30,0.16666666666666666,1.7789319495197833,True,13.692467762133921
