source_x_px,source_y_px,reference_x_px,reference_y_px,confidence,ransac_residual_px
149.79443359375,48.04889678955078,148.09619140625,46.345428466796875,0.3205949068069458,2.9982004165649414
144.69970703125,61.676658630371094,141.30322265625,63.380126953125,0.3114512860774994,1.2943257093429565
368.86767578125,85.52523803710938,365.47119140625,85.52523803710938,0.5483546853065491,2.543801784515381
336.60107421875,90.63565063476562,329.80810546875,90.63565063476562,0.4615596532821655,2.0217509269714355
158.28564453125,107.67034912109375,154.88916015625,109.37381744384766,0.3216778039932251,1.8506231307983398
601.52685546875,124.70504760742188,593.03564453125,128.1119842529297,0.11054714024066925,1.536030650138855
345.09228515625,134.92587280273438,339.99755859375,136.62933349609375,0.6450256109237671,1.2111579179763794
217.72412109375,150.25709533691406,214.32763671875,151.9605712890625,0.6623502373695374,2.0037972927093506
317.92041015625,153.66404724121094,312.82568359375,153.66404724121094,0.28801730275154114,1.2593756914138794
317.92041015625,162.181396484375,314.52392578125,162.181396484375,0.2755109965801239,0.39366745948791504
317.92041015625,170.69874572753906,314.52392578125,170.69874572753906,0.39652079343795776,0.2268158495426178
173.56982421875,177.5126190185547,170.17333984375,175.8091583251953,0.399364709854126,1.848765254020691
932.68408203125,180.9195556640625,922.49462890625,184.32650756835938,0.24299386143684387,0.37689346075057983
173.56982421875,209.87855529785156,171.87158203125,208.17507934570312,0.3616463541984558,0.7190327048301697
1134.77490234375,214.9889678955078,1122.88720703125,220.09938049316406,0.18666881322860718,1.2183510065078735
1170.43798828125,221.80284118652344,1156.85205078125,225.20977783203125,0.14132611453533173,1.1701390743255615
197.34521484375,232.02366638183594,197.34521484375,232.02366638183594,0.47645360231399536,1.72837233543396
404.53076171875,235.43060302734375,402.83251953125,233.7271270751953,0.12834759056568146,2.4146008491516113
949.66650390625,281.4242858886719,941.17529296875,283.1277770996094,0.5316277146339417,0.8252103328704834
584.54443359375,300.1624755859375,579.44970703125,300.1624755859375,0.5862425565719604,0.504720151424408
