source_x,source_y,raw_reference_x,raw_reference_y,geometric_reference_x,geometric_reference_y,refined_reference_x,refined_reference_y,phase_response,shift_x,shift_y,raw_gt_error_px,geometric_gt_error_px,refined_gt_error_px
78.01905,117.02858,240.76022,94.86085,240.72453,94.84824,240.9084,94.95717,0.97068256,0.18386462,0.10892831,0.05605757,0.044880364,0.22295448
78.01905,78.01905,246.89244,59.984657,246.87924,59.923347,246.88977,59.821705,0.9625037,0.010528634,-0.10164159,0.102057755,0.046011586,0.06236502
253.56192,195.04762,385.59863,192.3201,385.57764,192.40588,385.51462,192.45544,0.96216285,-0.06302667,0.049552973,0.049169436,0.039147533,0.11358854
175.54286,175.54286,318.9099,162.604,318.805,162.62885,318.8412,162.5625,0.968483,0.03617956,-0.06635257,0.09391802,0.041286267,0.03607153
195.04762,117.02858,345.61572,113.262596,345.4995,113.32016,345.55405,113.25708,0.9585003,0.05454407,-0.06308168,0.10102549,0.04196344,0.044923555
312.0762,156.0381,444.11343,166.64542,444.11987,166.71696,444.1322,166.68855,0.95082414,0.012327275,-0.028413283,0.039651837,0.038241047,0.00796481
351.08572,214.55238,469.9293,225.25635,469.8128,225.2616,469.61368,225.13396,0.9298504,-0.1991365,-0.12763564,0.114587106,0.036745153,0.22472534
409.6,156.0381,531.348,181.9961,531.4323,182.11021,531.4711,182.178,0.9731011,0.038831722,0.067777805,0.12390836,0.035886858,0.10595162
468.11432,234.05716,571.3777,261.1459,571.51044,261.19598,571.7021,261.25345,0.954732,0.191623,0.057460733,0.13650618,0.034142733,0.20983881
292.57144,58.51429,442.0173,76.47044,442.04407,76.32608,442.06888,76.38326,0.9855999,0.024799617,0.05718076,0.18616623,0.04123872,0.09290791
721.6762,136.53334,813.98413,213.9227,813.90967,213.9062,813.91797,213.92659,0.959522,0.008316876,0.020381581,0.079952165,0.028641496,0.04796152
663.1619,117.02858,764.70166,187.14255,764.59955,187.20781,764.48944,187.2642,0.9654878,-0.11008168,0.05640365,0.09892267,0.030334784,0.14731808
721.6762,117.02858,816.90283,196.55698,816.987,196.44377,817.0901,196.59778,0.9588074,0.10307294,0.15399966,0.16889173,0.028948497,0.20410733
585.1429,78.01905,700.76764,139.93219,700.90424,139.9683,700.7834,139.88815,0.9564121,-0.120878875,-0.08014896,0.1515015,0.0332054,0.14468756
682.6667,97.52381,785.2324,172.94058,785.13934,172.824,785.1618,172.77565,0.9415047,0.022477629,-0.048347507,0.1658309,0.030282926,0.02308336
994.7429,214.55238,1046.0002,326.87625,1046.0753,326.85712,1046.1698,327.0519,0.93781453,0.094463944,0.19478045,0.08320236,0.022956057,0.23844442
877.7143,156.0381,950.426,255.9334,950.5323,255.99785,950.5966,255.96225,0.9383185,0.06434413,-0.03559131,0.11706746,0.024811152,0.06155196
1014.2477,39.009525,1091.3468,172.88539,1091.234,172.77376,1091.2266,172.74953,0.92160773,-0.007416806,-0.024235176,0.166059,0.02357084,0.019801376
897.21906,78.01905,980.4112,189.35246,980.30426,189.22673,980.197,189.143,0.9639767,-0.107212834,-0.08372016,0.17753477,0.025397597,0.13221613
877.7143,117.02858,956.775,221.22348,956.687,221.07298,956.6014,221.11916,0.950787,-0.08560192,0.04617833,0.19238603,0.025147045,0.11642874
1267.8096,39.009525,1318.2593,212.77856,1318.2465,212.79623,1318.2296,212.72505,0.9748797,-0.016841335,-0.071174845,0.005150152,0.017189201,0.061617598
1209.2953,78.01905,1259.6737,238.50478,1259.7042,238.48518,1259.6553,238.51677,0.97335076,-0.048932523,0.03158384,0.051304527,0.017665967,0.07295916
1267.8096,234.05716,1287.4928,387.46918,1287.4729,387.42072,1287.5138,387.57388,0.9766971,0.040908586,0.15315321,0.07167287,0.019325411,0.17750005
1170.2858,175.54286,1209.4349,319.5752,1209.3925,319.64014,1209.5049,319.6704,0.9838368,0.11242121,0.030282857,0.064315766,0.018805565,0.12463863
1072.762,97.52381,1134.3733,234.31218,1134.3894,234.39705,1134.2751,234.43323,0.9348638,-0.114246234,0.036180567,0.06875603,0.020645592,0.13261455
1423.8477,39.009525,1457.9058,237.37204,1457.9465,237.42543,1457.9675,237.33528,0.9715901,0.02104689,-0.090143695,0.06263899,0.0131434165,0.07986943
1501.8667,195.04762,1503.1228,389.49664,1503.1776,389.43964,1503.178,389.468,0.9866103,0.0003382258,0.02834356,0.08288849,0.01481989,0.041310478
1287.3143,136.53334,1320.2234,303.16232,1320.3221,303.18713,1320.2902,303.20883,0.9339574,-0.031971924,0.02169475,0.098683715,0.015754638,0.048928663
1501.8667,234.05716,1497.0889,424.45682,1497.023,424.3645,1497.0109,424.41177,0.97501075,-0.012135327,0.047266588,0.13061559,0.01737158,0.059631474
1326.3239,175.54286,1349.1594,344.3751,1349.0925,344.26935,1349.0708,344.19418,0.9269295,-0.0217575,-0.07517845,0.14063439,0.016059583,0.062182963
1755.4286,175.54286,1733.3022,411.99777,1733.2675,411.99963,1733.2494,411.9368,1.0083692,-0.018014468,-0.06284495,0.045634218,0.01238822,0.056946456
1579.8857,136.53334,1582.3237,349.37393,1582.2596,349.36688,1582.2089,349.32144,0.9327855,-0.05079142,-0.045437828,0.070835315,0.010727309,0.058322437
1638.4,156.0381,1631.4962,376.0363,1631.5698,376.0653,1631.6427,376.11588,0.96022147,0.0728181,0.0505618,0.06947383,0.011222007,0.099569164
1618.8953,156.0381,1614.0739,372.8895,1614.1074,372.98663,1614.1011,372.89993,0.93053734,-0.0063480316,-0.08670236,0.09202944,0.011453203,0.0777012
1755.4286,58.51429,1751.6246,307.15262,1751.7316,307.22498,1751.5974,307.25247,0.9416247,-0.13418666,0.027486198,0.1260509,0.0050486997,0.13768743
1794.4381,78.01905,1783.6389,330.82843,1783.5792,330.84473,1783.5375,330.7788,0.92646265,-0.04174984,-0.065932184,0.06349752,0.005176217,0.07285093
1852.9524,234.05716,1811.413,479.68243,1811.3479,479.78027,1811.3782,479.91248,0.98689777,0.03025496,0.13220516,0.124023445,0.017933356,0.14522053
1891.962,195.04762,1852.4473,450.89664,1852.4277,451.0127,1852.5497,451.05182,0.96529806,0.1219104,0.03913442,0.11729071,0.014893078,0.14294435
1911.4668,136.53334,1879.0505,401.60443,1879.1222,401.70398,1879.223,401.66656,0.9706331,0.1008209,-0.037401494,0.11510396,0.009884728,0.11569655
1813.9429,195.04762,1782.45,438.666,1782.5776,438.69806,1782.392,438.6316,0.96786517,-0.18571587,-0.06646701,0.1174486,0.014360296,0.18286093
58.51429,331.58096,189.39604,283.84763,189.41118,283.8565,189.3317,283.88663,0.95805216,-0.07947957,0.030131623,0.038057327,0.043731954,0.10860953
156.0381,429.10477,261.3335,386.52682,261.3369,386.56195,261.26746,386.62302,0.99728066,-0.06946462,0.061057147,0.0099677155,0.043892775,0.11976909
39.009525,448.60953,153.50157,385.60764,153.48456,385.55255,153.5009,385.5142,0.97323567,0.0163488,-0.03835096,0.104130924,0.046577327,0.02711902
136.53334,507.12384,231.46411,453.38303,231.565,453.33313,231.44429,453.25314,0.95613086,-0.120714396,-0.07999638,0.12644826,0.047057237,0.110358186
58.51429,390.09525,180.08023,336.16296,180.17912,336.24384,180.11664,336.2461,0.9477015,-0.062480893,0.0022486912,0.10074976,0.04468084,0.07405894
507.12384,507.12384,563.3804,511.81815,563.35254,511.82758,563.38116,511.8817,0.9759247,0.02861562,0.054137938,0.056456465,0.042450916,0.103658564
370.59048,429.10477,453.43558,420.4589,453.42444,420.42712,453.34695,420.41248,0.96880656,-0.07748016,-0.014655234,0.07407029,0.040406805,0.068798795
331.58096,468.11432,412.37613,449.2284,412.34473,449.19476,412.2944,449.21054,0.95725644,-0.05033116,0.015784193,0.08708064,0.042598702,0.06526971
331.58096,351.08572,430.8097,344.35434,430.80884,344.4201,430.73877,344.4798,0.9918495,-0.070076495,0.059692442,0.028219521,0.03866128,0.11733029
429.10477,487.61908,496.56705,482.15002,496.5799,482.05048,496.49698,482.16232,0.96970266,-0.08292382,0.11185513,0.13749112,0.042253844,0.16279066
741.18097,331.58096,800.6232,391.54108,800.5987,391.6093,800.53894,391.72372,0.94803685,-0.059761703,0.114408694,0.05176188,0.030978274,0.15228842
760.6857,331.58096,818.1161,394.63068,818.0612,394.688,817.9984,394.73035,0.94075614,-0.06280475,0.042372774,0.070767574,0.030728761,0.08880825
702.17145,331.58096,765.5979,385.5139,765.6737,385.45203,765.6125,385.53326,0.9376075,-0.06119336,0.081236176,0.11368845,0.03159831,0.12303863
663.1619,429.10477,715.36597,466.4994,715.36194,466.60693,715.3197,466.68515,0.95473325,-0.042222243,0.078224085,0.07825141,0.036450624,0.11323995
565.6381,292.57144,649.6234,329.09576,649.5909,328.97656,649.4788,328.91245,0.9704662,-0.11208695,-0.064128116,0.15612336,0.03286538,0.11281379
799.69525,292.57144,859.11285,365.9758,859.14087,365.9204,859.20685,366.03473,0.96296394,0.06597296,0.114329144,0.085784644,0.028688878,0.15979932
838.7048,487.61908,863.2634,546.6296,863.29236,546.70215,863.2214,546.69977,0.98805666,-0.07099457,-0.0023644497,0.04359987,0.038238853,0.053463627
838.7048,507.12384,860.2948,564.16425,860.215,564.1646,860.1848,564.1743,0.97611296,-0.03022498,0.00967546,0.110162236,0.03958731,0.03930029
799.69525,312.0762,855.99005,383.42728,856.06354,383.3828,856.1731,383.47598,0.94187933,0.1095336,0.093158364,0.09713164,0.029332345,0.1693651
897.21906,448.60953,921.8034,521.1131,921.8346,521.01324,921.90204,521.1166,0.95146966,0.06742484,0.103305876,0.12770027,0.03533561,0.15859465
1131.2762,487.61908,1125.2544,592.8631,1125.23,592.88196,1125.3795,592.93054,0.9714483,0.14955641,0.04860857,0.0536324,0.037099134,0.19242781
1092.2667,273.06668,1124.1964,394.65555,1124.1558,394.6377,1124.0935,394.64926,0.92091244,-0.06230175,0.011557815,0.06379342,0.023465954,0.062083405
1209.2953,409.6,1207.3505,535.386,1207.3893,535.34674,1207.3097,535.488,0.97856265,-0.079558104,0.14122947,0.061731774,0.031051243,0.1712532
1092.2667,312.0762,1117.9819,429.50943,1118.0011,429.56262,1117.976,429.685,0.9614297,-0.025192488,0.12238945,0.031900372,0.025483055,0.1447619
1150.781,331.58096,1167.306,456.33395,1167.3113,456.261,1167.31,456.24182,0.95948493,-0.0012366978,-0.019159382,0.094383106,0.026049806,0.014501759
1482.3619,312.0762,1467.2601,491.1334,1467.251,491.13568,1467.3016,491.26126,0.90542203,0.050627023,0.12557298,0.030081417,0.023164129,0.15558602
1326.3239,312.0762,1327.5206,466.47766,1327.551,466.50647,1327.4498,466.43826,0.96459323,-0.1011555,-0.06820214,0.01825209,0.023675209,0.09899114
1384.8381,370.59048,1370.6378,528.0943,1370.7064,528.1297,1370.7858,528.1051,0.95437294,0.079348356,-0.02458614,0.049917653,0.02778595,0.10213954
1287.3143,312.0762,1292.6678,460.42236,1292.626,460.34912,1292.7627,460.45538,0.94385564,0.13671096,0.10627503,0.107774965,0.02381787,0.19663386
1306.8191,409.6,1294.6826,550.6566,1294.7018,550.74005,1294.8368,550.89484,0.97240025,0.13504471,0.15478915,0.06517331,0.030822754,0.23562557
1657.9048,390.09525,1612.1249,588.68646,1612.1041,588.6933,1612.1289,588.7374,0.94868416,0.02473819,0.044121385,0.048999067,0.030126955,0.07631982
1599.3905,468.11432,1547.4436,649.30096,1547.4072,649.3072,1547.4161,649.34973,0.94471925,0.008953315,0.04256228,0.07076552,0.03647636,0.07027098
1677.4095,468.11432,1617.1921,661.59546,1617.2572,661.62177,1617.2067,661.51245,0.90846556,-0.050522953,-0.109318644,0.033410046,0.03696257,0.099101245
1696.9143,292.57144,1662.3395,507.55682,1662.4159,507.5384,1662.5317,507.62955,0.96389157,0.11590501,0.0911428,0.062605955,0.022062015,0.16889063
1716.4191,390.09525,1664.413,597.86224,1664.4917,597.92926,1664.6294,597.8135,0.9548196,0.1376547,-0.115769975,0.07592874,0.030514954,0.1975272
1989.4858,331.58096,1918.1934,588.6126,1918.1989,588.64307,1918.1302,588.63794,0.9235981,-0.068571955,-0.005131079,0.03516711,0.028026504,0.04081258
1852.9524,273.06668,1805.1818,514.669,1805.1932,514.70514,1805.1859,514.64026,0.9296595,-0.007318051,-0.064902,0.032036714,0.021333074,0.06091908
1833.4476,273.06668,1787.6979,511.65164,1787.7307,511.62653,1787.8195,511.70914,0.9597455,0.08875171,0.08260575,0.03351475,0.021119421,0.14044979
1833.4476,448.60953,1760.0304,668.7228,1760.0345,668.7885,1760.0559,668.66724,0.9580294,0.021383207,-0.12128182,0.065877266,0.03650377,0.12692554
1794.4381,409.6,1731.2043,627.6636,1731.2643,627.70636,1731.1989,627.6463,0.97230536,-0.06546498,-0.060055617,0.044546004,0.032805815,0.061757445
97.52381,546.13336,190.46219,482.06314,190.4853,482.1007,190.58032,482.06317,0.9307297,0.095020965,-0.037540175,0.008761947,0.049306568,0.11449833
253.56192,702.17145,305.5196,646.4383,305.56653,646.4295,305.5387,646.48676,0.96758235,-0.027821,0.057265583,0.054034043,0.056277458,0.10146099
234.05716,682.6667,291.17468,625.80145,291.18137,625.8884,291.20627,625.7389,0.95980966,0.024914088,-0.14956333,0.050357748,0.055188,0.120332636
214.55238,682.6667,273.7966,622.8579,273.71887,622.80975,273.72003,622.6648,0.9822542,0.0011504068,-0.14494482,0.14427643,0.05531763,0.10606994
39.009525,526.6286,141.16452,455.2859,141.17516,455.40234,141.28186,455.32187,0.9251039,0.106703475,-0.08047316,0.070264995,0.049340934,0.12795925
351.08572,741.18097,386.83456,696.70355,386.7243,696.7476,386.5154,696.694,0.95943695,-0.20889741,-0.05364014,0.15024845,0.058200598,0.16929586
507.12384,760.6857,523.4462,738.9142,523.347,738.8393,523.1888,738.69354,0.99125564,-0.15818104,-0.14575103,0.18311174,0.058918655,0.15620004
273.06668,760.6857,313.9079,701.9537,313.79694,701.8955,313.71948,701.8498,0.952737,-0.07745279,-0.045686726,0.18282707,0.059959766,0.03695778
409.6,702.17145,445.3363,671.1632,445.26648,671.0587,445.295,671.0549,0.98337954,0.028530382,-0.003869908,0.18042491,0.055205617,0.075469896
487.61908,663.1619,521.1875,648.312,521.27124,648.4484,521.37854,648.38086,0.9755763,0.10728735,-0.067575105,0.10926517,0.052150212,0.1453164
643.65717,760.6857,645.5386,760.34296,645.5845,760.3899,645.6041,760.26495,0.951149,0.01963048,-0.124913104,0.010498047,0.0586037,0.11013381
526.6286,760.6857,540.8511,741.85034,540.80945,741.91797,540.79614,741.6921,0.97722435,-0.013287282,-0.2258912,0.090502545,0.058858432,0.1895447
663.1619,721.6762,669.1048,728.52374,669.20166,728.54364,669.08453,728.5766,0.9604701,-0.11714658,0.032928776,0.056364834,0.055601954,0.10116179
546.13336,741.18097,561.4366,727.4289,561.3493,727.5342,561.35706,727.4897,0.95726556,0.007745383,-0.044491127,0.14631599,0.057403233,0.050919127
741.18097,741.18097,735.8718,758.4161,735.9743,758.3207,736.00104,758.2792,0.95760804,0.026735658,-0.041490313,0.14153865,0.0569336,0.07263584
877.7143,565.6381,885.86096,622.6352,885.90796,622.7093,885.8238,622.719,0.9721288,-0.084147625,0.009725852,0.047133133,0.043548916,0.06503908
936.22864,526.6286,944.5407,596.9226,944.4502,597.0203,944.3684,596.9328,0.92946637,-0.08180812,-0.08751299,0.13903816,0.04041984,0.07951126
916.7238,565.6381,920.88513,628.98914,920.83295,628.8666,920.7894,628.8345,0.96402705,-0.043518182,-0.032122202,0.1732851,0.04339016,0.011387597
1014.2477,526.6286,1014.23206,609.4748,1014.3002,609.3349,1014.2084,609.266,0.99031353,-0.09180498,-0.068878956,0.1700008,0.040192194,0.07469309
955.7334,624.1524,946.488,687.5654,946.52594,687.4112,946.52136,687.2287,0.93025523,-0.0045474325,-0.18252394,0.18255666,0.047706578,0.15783922
1033.7524,760.6857,994.89496,821.97925,994.8345,821.96295,994.7307,822.1352,0.94867504,-0.10377582,0.17223242,0.12055928,0.05878519,0.20725487
1170.2858,760.6857,1116.9786,843.51416,1117.0719,843.5135,1116.9252,843.56366,0.9535278,-0.14668702,0.050145734,0.04760304,0.059215583,0.12006881
1267.8096,585.1429,1232.0856,701.84454,1232.0806,701.74475,1232.2043,701.6454,0.94278234,0.123839505,-0.099362075,0.12904583,0.044843856,0.18089032
1092.2667,624.1524,1068.6525,708.948,1068.7634,708.96173,1068.7996,708.8812,0.9394163,0.03608056,-0.08051089,0.071523204,0.047753252,0.094281435
1267.8096,604.64764,1229.1143,719.08,1229.0032,719.20715,1229.1681,719.12134,0.9659912,0.16490711,-0.08581711,0.18525891,0.046438288,0.21584524
1365.3334,760.6857,1291.6569,874.3568,1291.6969,874.3,1291.5356,874.15405,1.0156921,-0.16120417,-0.14591762,0.079794124,0.060171038,0.16295545
1384.8381,721.6762,1315.2174,842.5137,1315.3142,842.45374,1315.2657,842.4698,0.97625154,-0.04849061,0.016053265,0.091436386,0.057015102,0.036808196
1462.8572,526.6286,1416.0516,680.199,1415.9376,680.1439,1415.9473,680.0595,0.97471946,0.009657121,-0.0844309,0.16736057,0.040765088,0.08243464
1384.8381,643.65717,1327.5941,772.74347,1327.6235,772.604,1327.6781,772.5756,0.9866259,0.054526053,-0.028401716,0.15996009,0.050354596,0.10133402
1404.3429,721.6762,1332.6328,845.49097,1332.7767,845.5324,1332.7261,845.57733,0.96648216,-0.05060979,0.04493167,0.09282362,0.057227578,0.06506843
1774.9333,741.18097,1661.4202,921.44525,1661.4868,921.4892,1661.3895,921.59033,0.9577245,-0.097291596,0.10114792,0.032020196,0.061826203,0.11943955
