rank,candidate_id,method,representation,initial_translation_magnitude_px,recovered_translation_magnitude_px,distinct_candidates,ransac_inliers,ransac_inlier_ratio,coverage_cells,valid_coverage_cells,coverage_ratio,ransac_self_rmse_px,shape_sane,verification_score
1,loftr_intensity,loftr,intensity,903.5825942107823,900.0355736658331,116,57,0.49137931034482757,7,30,0.23333333333333334,1.5032260891403453,True,4.347546170731773
2,lightglue_gradient,lightglue,gradient,318.56944975631853,19.883931398428906,222,42,0.1891891891891892,5,30,0.16666666666666666,1.6123022881798184,True,0.8213871145834557
3,lightglue_intensity,lightglue,intensity,1.7171324419344032,1.417061358080991,229,36,0.1572052401746725,7,30,0.23333333333333334,1.635531003356219,True,0.807397728784991
4,loftr_gradient,loftr,gradient,0.6356870999592701,808.5529756713034,251,33,0.13147410358565736,3,30,0.1,1.6449580476743986,False,0.0
5,sift_gradient,sift,gradient,2222.425114215532,395.05075885946025,89,12,0.1348314606741573,2,30,0.06666666666666667,1.4199855066372953,False,0.0
6,sift_intensity,sift,intensity,98.95570564123379,10899.134735386675,7,5,0.7142857142857143,1,30,0.03333333333333333,0.7700151935488853,False,0.0
