source_x_original_kaguya_px,source_y_original_kaguya_px,source_x_coarse_registered_px,source_y_coarse_registered_px,reference_x_tmc_px,reference_y_tmc_px,ransac_residual_px
680.525637607622,225.12240960572183,1105.0328369140625,222.64939880371094,1104.703125,222.7593231201172,0.08411319890253184
520.3916723400757,222.77780963461984,944.601318359375,220.34654235839844,944.440673828125,220.4293212890625,0.12332780050184525
574.2513186790536,260.4762243232815,998.5315551757812,258.11749267578125,998.10693359375,258.232421875,0.17802823372594062
574.2513186790536,260.4762243232815,998.5315551757812,258.11749267578125,998.10693359375,258.232421875,0.17802823372594062
834.5723218506255,269.44586491409405,1259.3321533203125,267.0313720703125,1258.99658203125,267.3184814453125,0.2509073186482017
834.5723218506255,269.44586491409405,1259.3321533203125,267.0313720703125,1258.99658203125,267.3184814453125,0.2509073186482017
799.1046424665296,190.68044082785227,1223.861083984375,188.09165954589844,1223.5609130859375,187.79884338378906,0.3401617933771732
786.0058917400684,200.9768879543598,1210.7296142578125,198.41612243652344,1210.53076171875,198.12921142578125,0.34693426981209985
1442.9574903992354,333.3774629704696,1868.8038330078125,330.9334411621094,1869.2803955078125,331.6462707519531,1.0146006188518353
499.46272154372497,669.3731032911273,923.2764282226562,667.9955444335938,923.1318969726562,668.0196533203125,0.02804126879854766
234.3072380890033,369.32216244351224,657.8648681640625,367.31903076171875,657.5342407226562,367.20379638671875,0.17068692731048993
472.361324332068,549.3907400779578,896.22021484375,547.73974609375,896.2107543945312,547.7060546875,0.1749120108686164
500.664236020297,564.8975074210485,924.5636596679688,563.2745361328125,924.1373901367188,563.2655029296875,0.2491683964032698
787.4648317083745,572.8635202343675,1211.8941650390625,571.1746215820312,1211.4124755859375,571.0226440429688,0.3335415347616106
793.0840293715646,453.77056006551396,1217.6190185546875,451.8006591796875,1217.763671875,451.5903625488281,0.43997952921857403
1340.6040893484376,601.6919984819023,1766.044677734375,599.9075317382812,1766.2957763671875,599.6453857421875,0.5571193033843658
943.3471613059203,426.15834470921254,1368.1851806640625,424.079345703125,1368.46484375,424.3709411621094,0.5835719309902332
1647.1960932857532,387.4836883398076,2073.381103515625,385.1063232421875,2073.056396484375,385.2469177246094,0.08009834714704157
1647.1960932857532,387.4836883398076,2073.381103515625,385.1063232421875,2073.056396484375,385.2469177246094,0.08009834714704157
1822.612826320114,387.0065909277564,2249.126220703125,384.57635498046875,2248.9111328125,384.8203125,0.19664460368641282
