source_x,source_y,reference_x,reference_y,ngf_score,peak_margin,ransac_inlier
120.7953109741211,78.91236877441406,119.0,76.0,0.6296287178993225,0.01687687635421753,1
61.280879974365234,68.10883331298828,52.0,62.0,0.5917920470237732,0.018284082412719727,0
137.43043518066406,237.61415100097656,130.0,244.0,0.5878801941871643,0.011772453784942627,0
178.7655487060547,246.49322509765625,175.0,248.0,0.5882545113563538,0.01691347360610962,0
394.0738220214844,195.76905822753906,389.0,189.0,0.6261345744132996,0.011483550071716309,1
319.1245422363281,262.9278259277344,317.0,269.0,0.5874848365783691,0.010973215103149414,0
437.6363220214844,254.19529724121094,430.0,247.0,0.5909212827682495,0.00838160514831543,1
318.9431457519531,274.0543212890625,318.0,280.0,0.5876949429512024,0.01733773946762085,0
407.0186767578125,270.5435485839844,399.0,263.0,0.5816589593887329,0.01691460609436035,1
488.7925720214844,281.2266540527344,487.0,276.0,0.602934718132019,0.013209164142608643,0
1187.8819580078125,343.18603515625,1185.0,341.0,0.5970160961151123,0.011437654495239258,0
1296.044921875,348.6692810058594,1280.0,356.0,0.6091092228889465,0.008713841438293457,0
1328.33984375,353.5516052246094,1319.0,355.0,0.6289544701576233,0.021484792232513428,1
1365.7431640625,355.3720703125,1346.0,360.0,0.5899046659469604,0.012050271034240723,0
1699.75048828125,346.4850158691406,1691.0,345.0,0.6035521030426025,0.012402653694152832,0
1016.1137084960938,391.6517639160156,1000.0,390.0,0.5805792212486267,0.008530020713806152,0
1021.7168579101562,358.2448425292969,1011.0,367.0,0.5893844366073608,0.014359593391418457,0
1146.2723388671875,413.1986389160156,1133.0,408.0,0.6017253994941711,0.015094101428985596,1
