source_x,source_y,reference_x,reference_y,confidence,ground_truth_error_px
1764.5,16.5,1712.5,432.5,0.7545242,0.6431398
1812.5,16.5,1750.5,442.5,0.34017938,0.52420586
1990.5,18.5,1886.5,478.5,0.8500578,2.1601965
688.5,20.5,880.5,212.5,0.9800661,0.2587498
944.5,22.5,1078.5,266.5,0.9952987,0.623316
890.5,24.5,1036.5,258.5,0.9595341,1.2080656
1410.5,24.5,1438.5,364.5,0.996002,0.85874486
1500.5,26.5,1506.5,384.5,0.9896876,0.8818191
1798.5,26.5,1736.5,446.5,0.83337396,0.8767724
38.5,28.5,378.5,84.5,0.9743596,1.7344896
148.5,30.5,462.5,108.5,0.9810046,1.0983781
228.5,30.5,522.5,124.5,0.98300886,0.8575673
386.5,30.5,644.5,158.5,0.98711514,1.1656966
552.5,30.5,774.5,192.5,0.9621652,1.0150031
64.5,32.5,396.5,94.5,0.9893478,1.9995707
174.5,36.5,480.5,118.5,0.9926728,0.2596291
268.5,36.5,552.5,138.5,0.9937029,0.738845
1544.5,36.5,1540.5,402.5,0.97108793,1.6446363
1942.5,36.5,1846.5,484.5,0.9806459,0.04132729
106.5,40.5,426.5,108.5,0.9759134,1.142798
432.5,40.5,682.5,174.5,0.5354214,3.7292354
502.5,40.5,734.5,188.5,0.9859852,1.8555758
1436.5,44.5,1452.5,386.5,0.9891698,1.4313725
598.5,46.5,806.5,212.5,0.98703223,1.5805821
674.5,46.5,864.5,228.5,0.9659974,1.1678313
1150.5,46.5,1232.5,326.5,0.98497003,1.728975
1992.5,52.5,1880.5,506.5,0.9840919,1.464697
300.5,54.5,574.5,158.5,0.9071555,0.612454
248.5,56.5,532.5,148.5,0.9911138,1.0535998
524.5,56.5,746.5,206.5,0.95533925,0.18029712
1896.5,58.5,1806.5,490.5,0.9906338,1.4675895
466.5,62.5,700.5,200.5,0.99473506,1.5371623
1074.5,62.5,1170.5,324.5,0.9923049,0.38748384
822.5,66.5,974.5,276.5,0.99611753,0.7861546
1952.5,66.5,1848.5,510.5,0.91932815,0.92418706
122.5,70.5,432.5,134.5,0.9949023,0.7896639
1476.5,70.5,1480.5,414.5,0.97290784,1.197831
1432.5,74.5,1444.5,408.5,0.99909806,0.24890964
1466.5,74.5,1470.5,414.5,0.95216763,0.83539987
1786.5,74.5,1718.5,482.5,0.99814534,1.0541998
1182.5,76.5,1250.5,358.5,0.99900854,0.61259794
484.5,78.5,712.5,214.5,0.9954858,1.4969893
724.5,78.5,896.5,264.5,0.9927332,0.25587767
346.5,82.5,604.5,190.5,0.9952966,1.264025
1560.5,84.5,1540.5,442.5,0.99741566,0.8360173
1760.5,84.5,1696.5,484.5,0.9974712,0.8651316
2024.5,84.5,1900.5,538.5,0.98099357,0.6150343
40.5,88.5,368.5,130.5,0.97578156,2.5818396
64.5,88.5,386.5,136.5,0.96624684,2.1248655
166.5,88.5,462.5,156.5,0.9878517,0.91810495
326.5,88.5,586.5,190.5,0.9820698,0.62175447
1612.5,88.5,1580.5,456.5,0.9919732,0.24889316
1008.5,90.5,1112.5,332.5,0.9935326,1.0897863
398.5,92.5,640.5,208.5,0.99770564,1.327914
436.5,92.5,670.5,214.5,0.9756692,1.5613412
1732.5,94.5,1672.5,486.5,0.99313533,0.75070465
1828.5,98.5,1744.5,508.5,0.99176675,1.0718116
962.5,100.5,1076.5,330.5,0.99885166,0.7802688
284.5,102.5,550.5,190.5,0.94394153,2.0106559
16.5,108.5,342.5,142.5,0.9532807,1.3889571
