source_x,source_y,reference_x,reference_y,score,prior_residual_px,final_residual_px,representation
971.59375,323.40625,968.28125,327.21875,0.8893265128135681,5.722084999084473,1.8707998991012573,baseline
1701.46875,407.15625,1686.46875,408.71875,0.2988094985485077,3.371586322784424,1.8806768655776978,baseline
263.78125,59.34375,254.15625,58.71875,0.4177180230617523,5.148331642150879,1.087677240371704,gradient
1688.96875,309.03125,1667.40625,311.21875,0.39016079902648926,5.692991733551025,1.0736961364746094,gradient
726.90625,244.96875,722.65625,245.71875,0.14211423695087433,2.966822385787964,0.2901513874530792,baseline
84.34375,31.53125,76.53125,28.40625,0.22534595429897308,5.871794700622559,1.2076358795166016,baseline
837.21875,265.59375,834.21875,265.71875,0.15715555846691132,5.348928928375244,2.15830659866333,baseline
