source_x,source_y,reference_x,reference_y,ransac_residual_px
1093.125,563.125,1908.9765625,560.6909790039062,1.6909348773196864
970.125,600.625,1787.1015625,602.3359375,2.5951266018419687
1083.125,532.125,1900.0234375,533.3543090820312,2.2524063402299364
1065.875,535.875,1881.7421875,536.401611328125,1.6630968081912663
1064.375,546.375,1881.7421875,545.5433349609375,0.8611892584791995
1103.375,551.625,1918.3046875,550.6220703125,1.649432620071477
1048.625,559.125,1865.4921875,557.7322998046875,0.6478912406214102
1221.125,559.875,2040.1796875,560.779541015625,2.8813962700597204
1143.125,563.625,1958.9296875,561.7952880859375,1.2576708044507532
1031.375,564.375,1850.2578125,564.842529296875,2.833495654174885
1082.375,564.375,1899.0078125,563.8267822265625,0.3570408466586884
1216.625,577.125,2034.0859375,577.031494140625,1.0253045646104535
1042.625,580.125,1859.3984375,579.06298828125,0.4714437160567357
1245.875,586.125,2065.5703125,586.1732177734375,3.046816698535642
1089.125,589.125,1903.0703125,588.2047119140625,2.493112536626294
1267.625,591.375,2084.8671875,590.2362060546875,0.5964120630295018
1170.125,595.125,1986.3515625,592.2677001953125,2.138664371840567
1243.625,598.125,2060.4921875,596.3306884765625,1.0770172304439491
1203.125,602.625,2019.8671875,602.4251708984375,0.528413038359392
1158.125,608.625,1976.1953125,609.535400390625,2.236827719605106
1266.875,610.125,2082.8359375,609.535400390625,0.7752278177205005
1149.125,613.125,1964.0078125,611.56689453125,1.8250189746459007
1065.875,614.625,1883.7734375,611.56689453125,2.8550101133435426
1117.625,616.125,1933.5390625,614.6141967773438,0.9733558380506169
1225.625,619.875,2041.1953125,617.6614379882812,1.8858138602069838
1484.375,620.625,2302.2109375,618.6771850585938,1.5077401536344412
1401.125,625.875,2217.9140625,623.7559204101562,1.527810642397822
1097.375,631.875,1912.2109375,633.9133911132812,3.0410601231707424
1483.625,639.375,2303.2265625,638.9921264648438,2.524660509310637
1515.875,640.125,2334.7109375,637.9763793945312,2.3403193838710687
1197.875,642.375,2013.7734375,644.0708618164062,2.3348764446434673
1418.375,643.125,2235.1796875,642.0393676757812,0.569955505466773
1260.875,646.125,2075.7265625,648.1338500976562,3.0960343284730447
1437.125,646.875,2253.4609375,648.1338500976562,1.8816398972087303
1450.625,646.875,2267.6796875,649.1495971679688,2.788262515117112
1538.375,646.875,2356.0390625,649.1495971679688,2.8202269968120186
1396.625,651.375,2213.8515625,649.1495971679688,1.7598237485465962
1037.375,652.125,1853.3046875,650.1653442382812,1.430659892308671
1505.375,652.125,2322.5234375,653.2125854492188,1.5745993585504863
1603.625,655.125,2423.0703125,654.2283935546875,2.2113632753918973
1290.875,657.375,2110.2578125,658.2913818359375,3.0866799306717163
1212.125,658.125,2026.9765625,656.2598876953125,2.1211450369976177
1481.375,658.125,2300.1796875,657.275634765625,1.825292947616501
1512.125,658.875,2330.6484375,659.30712890625,1.6960819100875735
1426.625,659.625,2244.3203125,658.2913818359375,1.1733494617321292
1061.375,660.375,1878.6953125,657.275634765625,2.8371588441665736
1170.875,661.125,1985.3359375,662.3543701171875,2.579795206175644
1377.125,662.625,2194.5546875,660.3228759765625,1.9471487837456516
1294.625,667.875,2110.2578125,667.43310546875,0.9792973749200042
1227.125,668.625,2043.2265625,667.43310546875,0.8236045630201889
1272.125,670.125,2087.9140625,670.4803466796875,1.1112656423022433
1326.125,670.125,2143.7734375,670.4803466796875,1.2607567850817527
1662.125,674.625,2477.9140625,676.5748291015625,2.7962415304361072
1230.125,675.375,2048.3046875,677.590576171875,3.156421027139957
1519.625,676.125,2336.7421875,675.55908203125,0.18975505573753887
1169.375,676.875,1987.3671875,677.590576171875,2.0191916572427284
1553.375,678.375,2369.2421875,676.5748291015625,1.8849503413044293
1095.125,682.875,1911.1953125,680.6378173828125,1.8213176087034828
1273.625,682.875,2089.9453125,682.6693115234375,0.27865175310993257
1204.625,685.875,2022.9140625,683.68505859375,2.625449523579619
1560.875,685.875,2377.3671875,684.7008056640625,1.0236727118649
1347.875,688.875,2164.0859375,688.7637939453125,0.5117705335261689
1374.875,689.625,2193.5390625,689.779541015625,2.021187206694142
1649.375,691.125,2466.7421875,690.7952880859375,0.10738883941549442
1540.625,691.875,2358.0703125,690.7952880859375,0.8553062154790428
1563.875,693.375,2381.4296875,692.8267822265625,0.5267570552553089
1631.375,694.875,2449.4765625,695.8740234375,1.577957626136936
1638.875,695.625,2454.5546875,694.8582763671875,1.6145746163889982
1749.125,700.875,2564.2421875,700.9527587890625,2.341455214633467
1648.625,702.375,2465.7265625,700.9527587890625,1.1552416738221134
1185.125,703.125,2003.6171875,700.9527587890625,2.877303802662933
1777.625,703.875,2594.7109375,705.0157470703125,1.4476052136799942
1591.625,707.625,2407.8359375,706.031494140625,1.5987103313918
1571.375,708.375,2388.5390625,706.031494140625,2.0865666704508588
1152.125,710.625,1969.0859375,710.094482421875,0.8002700215573186
1509.125,713.625,2325.5703125,712.1259765625,1.3342751938345487
1095.125,715.125,1909.1640625,713.1417236328125,2.6375956700057617
1413.125,715.125,2231.1171875,716.18896484375,1.8393747228913635
1244.375,718.125,2061.5078125,720.251953125,2.512716810357999
1590.875,718.875,2407.8359375,718.220458984375,0.4481091197238636
1455.875,719.625,2273.7734375,719.2362060546875,1.1276996155081431
1736.375,723.375,2554.0859375,725.3306884765625,2.1692395172735375
1261.625,724.125,2077.7578125,724.31494140625,0.4913261003435292
1373.375,727.125,2191.5078125,729.3936767578125,2.920581950335958
1106.375,727.875,1923.3828125,729.3936767578125,2.005790191163397
1468.625,727.875,2283.9296875,729.3936767578125,2.2648543342547938
1132.625,728.625,1948.7734375,728.3779296875,0.05023628710053667
1588.625,728.625,2405.8046875,728.3779296875,0.17005482270763725
1287.875,729.375,2103.1484375,729.3936767578125,1.161870311280253
1401.875,730.125,2217.9140625,730.409423828125,0.7704768575572181
1599.875,733.125,2416.9765625,731.4251708984375,1.5405812614078407
1660.625,733.125,2478.9296875,732.44091796875,1.2655492592260844
1345.625,733.875,2163.0703125,732.44091796875,1.5536587507183135
1606.625,734.625,2423.0703125,733.4566650390625,1.1766324433970872
1425.125,736.875,2242.2890625,736.50390625,0.5367690542551679
1265.375,737.625,2082.8359375,736.50390625,1.4594603634744077
1340.375,739.125,2155.9609375,740.56689453125,1.8474144119998606
1197.125,741.375,2013.7734375,739.5511474609375,1.7069708295522543
1596.125,741.375,2412.9140625,740.56689453125,0.710802593476268
1211.375,743.625,2026.9765625,743.6141357421875,0.6318779572962925
1614.875,743.625,2430.1796875,742.598388671875,1.9509241193250146
1734.875,743.625,2553.0703125,743.6141357421875,0.9254374268731933
1551.125,744.375,2370.2578125,744.6298828125,2.264845766772366
1427.375,745.125,2244.3203125,742.598388671875,2.409250579377852
1249.625,745.875,2066.5859375,743.6141357421875,2.2117160187452045
1749.875,745.875,2567.2890625,743.6141357421875,2.171228585854412
1285.625,749.625,2101.1171875,748.69287109375,1.1669948431502737
1768.625,749.625,2586.5859375,747.6771240234375,1.9771500114690794
1224.125,750.375,2041.1953125,751.7401733398438,1.7302708199262862
1503.125,751.875,2320.4921875,751.7401733398438,0.5884774672790226
1671.125,752.625,2487.0546875,752.7559204101562,1.2062448751469461
1676.375,752.625,2492.1328125,752.7559204101562,1.386300508313087
1723.625,752.625,2541.8984375,755.8031616210938,3.4132849896533677
1257.125,756.375,2073.6953125,753.7716674804688,2.5079712396183544
1675.625,758.625,2492.1328125,757.8346557617188,0.9515153369815949
1222.625,762.375,2037.1328125,761.8976440429688,1.7146928994422814
1635.875,762.375,2452.5234375,762.9133911132812,0.6884821919444706
1750.625,764.625,2565.2578125,763.9291381835938,2.695932543542825
1343.375,765.375,2160.0234375,765.9606323242188,0.6942144774841826
1528.625,766.125,2343.8515625,763.9291381835938,2.6603255729807334
1398.125,769.125,2213.8515625,772.0551147460938,3.0794267728193283
1653.875,771.375,2470.8046875,771.0393676757812,0.3433182834559868
1607.375,774.375,2425.1015625,773.0708618164062,1.5316766826501944
1407.875,780.375,2224.0078125,780.1810913085938,0.41441193971995605
1467.125,784.125,2282.9140625,784.244140625,0.825792188979232
1631.375,785.625,2448.4609375,785.2598876953125,0.4373337678563928
1365.125,787.125,2179.3203125,789.3228759765625,3.094951612528954
1698.125,787.875,2514.4765625,787.2913818359375,0.9635246140387315
1403.375,790.875,2217.9140625,789.3228759765625,2.4930219672615306
1531.625,791.625,2348.9296875,791.3543701171875,0.6729377955236311
1617.875,793.125,2436.2734375,791.3543701171875,2.3842942415131456
1557.125,805.875,2374.3203125,805.5748291015625,0.6272673873648386
1498.625,808.125,2317.4453125,808.6220703125,2.25281273801895
1489.625,812.625,2305.2578125,810.653564453125,2.302725233864226
1757.375,819.375,2574.3984375,820.81103515625,1.2454053921556345
1578.875,823.125,2394.6328125,823.8582763671875,1.105019371381632
1543.625,824.625,2359.0859375,825.8897705078125,1.5988326974949127
1497.125,826.875,2312.3671875,829.9527587890625,3.166957610884567
1761.125,827.625,2579.4765625,828.93701171875,1.6785157927548904
1779.125,833.625,2596.7421875,833.0,1.0212240765790228
1698.125,834.375,2515.4921875,833.0,1.6774684493641139
1731.125,835.125,2546.9765625,837.06298828125,2.0355153107856587
1548.875,835.875,2365.1796875,837.06298828125,1.0076056963400042
1771.625,845.625,2588.6171875,846.2047119140625,0.287901447806453
1566.875,847.125,2385.4921875,847.220458984375,2.0054958715630202
1543.625,852.375,2361.1171875,854.3306884765625,1.9074864984997546
1670.375,853.125,2488.0703125,853.31494140625,0.8923037618395981
1763.375,853.125,2579.4765625,855.346435546875,2.0996453173263063
1784.375,853.875,2602.8359375,852.2991943359375,2.3764587402296993
1785.125,857.625,2602.8359375,857.3779296875,0.9013003160540015
1771.625,859.875,2586.5859375,860.4251708984375,2.0449471011047997
1764.875,868.875,2582.5234375,869.56689453125,0.7582750882621445
1782.875,869.625,2597.7578125,870.5826416015625,2.1817013624356667
1689.875,873.375,2506.3515625,873.6298828125,0.3419478856856661
1635.125,876.375,2450.4921875,877.6929321289062,1.5946190581323592
1770.875,880.875,2587.6015625,881.7559204101562,0.49330108926899885
1691.375,886.875,2508.3828125,887.8504028320312,0.5889048552392582
1553.125,677.625,2368.3046875,676.590576171875,2.0344542074803535
1560.625,685.125,2377.4453125,684.716552734375,0.2843614462279331
1541.875,691.125,2358.1484375,690.81103515625,0.7693953374344155
1649.125,691.125,2465.8046875,690.81103515625,0.5803664285516759
1563.625,693.375,2381.5078125,692.842529296875,0.830786496699424
1631.875,694.875,2449.5546875,695.8897705078125,1.399334711162814
1639.375,695.625,2454.6328125,694.8740234375,2.019610453014071
1748.875,700.125,2564.3203125,700.968505859375,2.279892253994049
1649.125,702.375,2465.8046875,700.968505859375,1.2577503076144794
1556.875,705.375,2373.3828125,704.0157470703125,1.2047448176983844
1571.875,707.625,2387.6015625,706.0472412109375,1.8679739543139304
1591.375,707.625,2406.8984375,706.0472412109375,2.0490308750132287
1579.375,715.875,2394.7109375,715.18896484375,1.7674385076715284
1591.375,719.625,2407.9140625,718.2362060546875,1.2836452249582915
1825.375,724.875,2640.4921875,726.3621826171875,2.9115073259912974
1589.125,729.375,2405.8828125,729.409423828125,0.33839837495193015
1607.125,734.625,2424.1640625,733.472412109375,0.9985156904712805
1790.125,735.375,2607.9921875,734.4881591796875,0.8848687391646226
1735.375,743.625,2553.1484375,743.6298828125,0.5095258526219724
1750.375,745.875,2567.3671875,745.661376953125,0.3298779424090973
1790.875,745.875,2609.0078125,745.661376953125,0.7621188038191019
1958.875,751.125,2773.5390625,752.7716674804688,3.481119949981789
1671.625,752.625,2487.1328125,752.7716674804688,1.6265406407734027
1675.375,753.375,2492.2109375,752.7716674804688,0.6036240874522213
1722.625,753.375,2541.9765625,755.8189086914062,3.293718297611821
1931.875,755.625,2749.1640625,755.8189086914062,0.4153255102280473
1904.125,757.125,2720.7265625,756.8346557617188,1.0091962289824796
1676.125,758.625,2493.2265625,757.8504028320312,0.7219953490249499
