source_x,source_y,reference_x,reference_y,dx_px,dy_px,displacement_px
337.375,341.875,338.5625,342.0624694824219,1.1875,0.187469482421875,1.2022067446323554
560.125,341.875,559.0625,342.0624694824219,-1.0625,0.187469482421875,1.0789119782630674
346.375,344.125,346.4374694824219,343.8124694824219,0.062469482421875,-0.312530517578125,0.31871266158047074
395.125,345.625,394.5624694824219,345.5624694824219,-0.562530517578125,-0.062530517578125,0.5659952728029638
563.875,345.625,564.3125,348.1874694824219,0.4375,2.562469482421875,2.599549210602375
247.375,347.875,247.56248474121094,348.1874694824219,0.1874847412109375,0.312469482421875,0.3644004742476698
257.125,347.875,257.1875,348.1874694824219,0.0625,0.312469482421875,0.31865879470837527
443.125,347.875,443.5624694824219,345.5624694824219,0.437469482421875,-2.312530517578125,2.353545610941206
509.125,347.875,509.1874694824219,344.6874694824219,0.062469482421875,-3.187530517578125,3.1881425998104174
689.125,347.875,692.9374389648438,343.8124694824219,3.81243896484375,-4.062530517578125,5.571251660705381
264.625,354.625,264.1875,355.1874694824219,-0.4375,0.562469482421875,0.7125855518153115
395.875,354.625,393.6874694824219,356.0624694824219,-2.187530517578125,1.437469482421875,2.6175576933908893
443.125,354.625,442.6874694824219,355.1874694824219,-0.437530517578125,0.562469482421875,0.7126042888364579
345.625,355.375,346.4374694824219,355.1874694824219,0.812469482421875,-0.187530517578125,0.8338311309191981
326.875,356.125,329.8125,358.6874694824219,2.9375,2.562469482421875,3.89809647114376
520.375,356.125,522.3125,356.9374694824219,1.9375,0.812469482421875,2.10095523747339
453.625,359.875,453.1874694824219,357.8124694824219,-0.437530517578125,-2.062530517578125,2.1084271601725466
494.875,359.875,496.0624694824219,360.4374694824219,1.187469482421875,0.562469482421875,1.313946608633398
530.125,359.875,530.1875,359.5624694824219,0.0625,-0.312530517578125,0.3187186446031212
359.875,360.625,360.4374694824219,362.1874694824219,0.562469482421875,1.562469482421875,1.6606272315470483
371.125,360.625,372.6874694824219,362.1874694824219,1.562469482421875,1.562469482421875,2.209665532835086
394.375,362.125,394.5624694824219,361.3124694824219,0.187469482421875,-0.812530517578125,0.8338768787029063
353.875,362.875,353.4374694824219,364.8124694824219,-0.437530517578125,1.937469482421875,1.9862580268253847
405.625,362.875,408.5624694824219,363.0624694824219,2.937469482421875,0.187469482421875,2.943445560393357
418.375,363.625,419.0624694824219,363.0624694824219,0.687469482421875,-0.562530517578125,0.8882876068414519
427.375,363.625,426.0624694824219,363.0624694824219,-1.312530517578125,-0.562530517578125,1.427997528982671
436.375,363.625,434.8124694824219,363.0624694824219,-1.562530517578125,-0.562530517578125,1.6607053325529115
571.375,364.375,571.3125,363.9374694824219,-0.0625,-0.437530517578125,0.4419719491236768
581.875,365.125,581.8125,365.6874694824219,-0.0625,0.562469482421875,0.5659312402191029
299.125,367.375,300.0625,368.3124694824219,0.9375,0.937469482421875,1.3258036357139538
459.625,368.125,460.1874694824219,365.6874694824219,0.562469482421875,-2.437530517578125,2.50158488618328
529.375,368.125,525.8125,367.4374694824219,-3.5625,-0.687530517578125,3.6282371012106203
326.875,368.875,327.1875,370.0624694824219,0.3125,1.187469482421875,1.2279006562760995
503.125,368.875,503.0624694824219,368.3124694824219,-0.062530517578125,-0.562530517578125,0.5659952728029638
602.875,368.875,603.6875,367.4374694824219,0.8125,-1.437530517578125,1.6512571692405855
408.625,369.625,408.5624694824219,370.0624694824219,-0.062530517578125,0.437469482421875,0.4419158445666453
418.375,370.375,418.1874694824219,370.0624694824219,-0.187530517578125,-0.312530517578125,0.3644763633499025
691.375,370.375,693.8124389648438,370.9374694824219,2.43743896484375,0.562469482421875,2.5014956777884914
361.375,371.875,359.5624694824219,371.8124694824219,-1.812530517578125,-0.062530517578125,1.8136088174632958
581.875,375.625,581.8125,376.1874694824219,-0.0625,0.562469482421875,0.5659312402191029
339.625,376.375,339.4375,375.3124694824219,-0.1875,-1.062530517578125,1.0789473345742313
398.125,376.375,399.8124694824219,377.9374694824219,1.687469482421875,1.562469482421875,2.2997530601359863
722.875,376.375,712.1874389648438,387.5624694824219,-10.68756103515625,11.187469482421875,15.472021015378402
389.125,377.125,389.3124694824219,377.9374694824219,0.187469482421875,0.812469482421875,0.8338174060946408
450.625,377.125,450.5624694824219,377.0624694824219,-0.062530517578125,-0.062530517578125,0.0884315060211936
467.125,377.125,467.1874694824219,377.0624694824219,0.062469482421875,-0.062530517578125,0.08838835818502994
526.375,377.125,526.6875,377.0624694824219,0.3125,-0.062530517578125,0.3186947059939782
470.875,377.875,471.5624694824219,377.9374694824219,0.687469482421875,0.062469482421875,0.6903019089466996
629.875,380.125,627.3125,382.3124694824219,-2.5625,2.187469482421875,3.3691881791504352
480.625,381.625,480.3124694824219,381.4374694824219,-0.312530517578125,-0.187530517578125,0.3644763633499025
498.625,382.375,498.6874694824219,382.3124694824219,0.062469482421875,-0.062530517578125,0.08838835818502994
260.125,383.125,261.5625,384.9374694824219,1.4375,1.812469482421875,2.3133205300413127
362.875,383.875,363.9374694824219,384.0624694824219,1.062469482421875,0.187469482421875,1.078881924919188
386.875,384.625,387.5624694824219,384.9374694824219,0.687469482421875,0.312469482421875,0.7551499630579314
586.375,384.625,586.1875,381.4374694824219,-0.1875,-3.187530517578125,3.1930404085278767
599.875,386.125,600.1875,387.5624694824219,0.3125,1.437469482421875,1.4710454659507344
527.125,389.125,526.6875,389.3124694824219,-0.4375,0.187469482421875,0.4759737984800484
650.125,389.875,650.0625,391.9374694824219,-0.0625,2.062469482421875,2.0634162488265804
260.125,390.625,259.8125,391.9374694824219,-0.3125,1.312469482421875,1.3491598838865408
499.375,391.375,498.6874694824219,391.0624694824219,-0.687530517578125,-0.312530517578125,0.7552307839454739
508.375,391.375,509.1874694824219,391.9374694824219,0.812469482421875,0.562469482421875,0.9881693066083369
266.875,392.125,267.6875,394.5624694824219,0.8125,2.437469482421875,2.569321647388268
608.875,392.125,607.1875,393.6874694824219,-1.6875,1.562469482421875,2.2997754528430994
298.375,393.625,299.1875,391.0624694824219,0.8125,-2.562530517578125,2.688255736257102
345.625,395.875,342.9374694824219,397.1874694824219,-2.687530517578125,1.312469482421875,2.990885558693694
334.375,396.625,333.3125,398.0624694824219,-1.0625,1.437469482421875,1.7875191643432002
353.125,396.625,351.6874694824219,396.3124694824219,-1.437530517578125,-0.312530517578125,1.471111591071895
330.625,397.375,328.9375,398.0624694824219,-1.6875,0.687469482421875,1.822160953171097
361.375,398.875,361.3124694824219,398.0624694824219,-0.062530517578125,-0.812530517578125,0.8149330694139022
273.625,399.625,272.9375,399.8124694824219,-0.6875,0.187469482421875,0.7126016115892004
656.125,401.125,657.0625,402.4374694824219,0.9375,1.312469482421875,1.6129111544932486
303.625,402.625,303.5625,402.4374694824219,-0.0625,-0.187530517578125,0.19767130551276138
314.875,403.375,316.6875,403.3124694824219,1.8125,-0.062530517578125,1.8135783180300178
325.375,403.375,322.8125,403.3124694824219,-2.5625,-0.062530517578125,2.5632628260926715
401.875,406.375,401.5624694824219,405.9374694824219,-0.312530517578125,-0.437530517578125,0.5376879003937439
589.375,407.875,589.6875,407.6874694824219,0.3125,-0.187530517578125,0.3644501955317344
600.625,407.875,600.1875,405.0624694824219,-0.4375,-2.812530517578125,2.846354539109328
333.625,408.625,334.1875,407.6874694824219,0.5625,-0.937530517578125,1.093329649003587
