source_x,source_y,raw_reference_x,raw_reference_y,geometric_reference_x,geometric_reference_y,refined_reference_x,refined_reference_y,phase_response,shift_x,shift_y,raw_gt_error_px,geometric_gt_error_px,refined_gt_error_px
186.5,278.5,312.5,256.5,312.23962,256.6668,312.26752,256.60574,0.93142706,0.027902495,-0.06107462,0.12630835,0.21836522,0.15383409
250.5,320.5,362.5,304.5,362.89935,304.35666,363.05325,304.337,0.9552536,0.15390569,-0.01966179,0.61931336,0.21193741,0.13804363
122.5,506.5,218.5,450.5,218.98514,450.71402,218.98596,450.5306,0.9316282,0.0008243547,-0.18341486,0.58357114,0.22179419,0.09862845
498.5,386.5,574.5,402.5,574.46893,402.5323,574.4573,402.422,0.9457294,-0.011653792,-0.11029994,0.16430253,0.206087,0.19539627
434.5,442.5,508.5,442.5,508.34888,442.58405,508.62317,442.62057,0.9430694,0.27429003,0.036524978,0.032877576,0.20045473,0.18592171
476.5,376.5,556.5,390.5,556.3546,390.11194,556.493,390.10428,0.96740013,0.13839506,-0.007645328,0.4892844,0.20580247,0.101244226
502.5,336.5,586.5,358.5,585.9372,358.39658,586.10693,358.4491,0.9811,0.16974545,0.052529655,0.42152026,0.20997702,0.14523774
312.5,298.5,422.5,294.5,421.86542,294.43066,421.8991,294.49606,0.93775266,0.033689685,0.06539362,0.52193505,0.20988041,0.23921278
754.5,392.5,802.5,448.5,802.66473,448.2494,802.7326,448.12054,0.9364727,0.06786832,-0.12884495,0.48420897,0.23335803,0.19276671
594.5,358.5,664.5,392.5,664.8146,392.5927,664.9597,392.39905,0.9460752,0.14516187,-0.19365019,0.5196255,0.21551509,0.13886045
540.5,370.5,614.5,394.5,614.58673,394.82626,614.5334,394.76944,0.9124988,-0.05332029,-0.056836147,0.37066257,0.20985878,0.2475274
622.5,306.5,698.5,350.5,698.08044,350.4487,698.28326,350.4601,0.97200567,0.20279211,0.011417352,0.2319778,0.22301981,0.07100514
686.5,348.5,748.5,398.5,748.7402,398.13852,748.79425,398.13715,0.98204166,0.054096904,-0.0013822555,0.61534154,0.227385,0.17427085
934.5,414.5,960.5,496.5,960.30975,496.3142,960.54,496.34726,0.972573,0.23025206,0.033047248,0.1822871,0.26479137,0.036621552
842.5,384.5,882.5,454.5,882.6945,454.95544,882.79376,455.0543,0.9548805,0.09923569,0.09884359,0.6333293,0.24947938,0.18192124
904.5,442.5,928.5,516.5,929.03986,516.6552,929.2749,516.7262,0.9467371,0.23505813,0.07098519,0.8122942,0.255633,0.06417593
794.5,444.5,830.5,500.5,830.2648,501.11005,830.28375,501.14722,0.9343649,0.01900851,0.03716788,0.59103507,0.2348407,0.22230455
920.5,322.5,962.5,412.5,962.2923,411.73816,962.3846,411.76434,0.95562625,0.09230451,0.02617578,0.7451551,0.27168807,0.17884046
1074.5,280.5,1106.5,398.5,1106.7616,398.40472,1106.8958,398.5485,0.9364537,0.13413802,0.14375453,0.5675166,0.3111307,0.1894299
