source_x,source_y,reference_x,reference_y,mind_cost,distinctness_ratio,reverse_error_px,ransac_inlier
74.43419647216797,68.03766632080078,79.0,68.0,0.03530041128396988,1.0157573223114014,0.0,0
176.80674743652344,56.35823440551758,170.0,50.0,0.030742360278964043,1.0287203788757324,1.0,0
145.57896423339844,110.13206481933594,136.0,103.0,0.03155716508626938,1.0304903984069824,1.0,0
101.25791931152344,98.23491668701172,98.0,96.0,0.03289882093667984,1.0227410793304443,1.4142135381698608,0
200.38661193847656,161.41757202148438,206.0,169.0,0.037843503057956696,1.0389368534088135,1.0,0
157.63803100585938,115.12388610839844,156.0,119.0,0.033748235553503036,1.020122766494751,0.0,1
490.23779296875,130.5183563232422,492.0,140.0,0.029313551262021065,1.0600773096084595,1.4142135381698608,0
519.7777099609375,118.22157287597656,508.0,127.0,0.028560252860188484,1.03173828125,0.0,1
463.29864501953125,107.401611328125,454.0,116.0,0.028375206515192986,1.0430043935775757,0.0,1
174.6959991455078,185.83047485351562,165.0,185.0,0.04013000801205635,1.021238923072815,1.4142135381698608,0
297.19488525390625,242.81820678710938,287.0,250.0,0.03196744993329048,1.0267585515975952,1.4142135381698608,0
540.5919189453125,268.8094482421875,537.0,269.0,0.034434761852025986,1.0216411352157593,0.0,0
629.6297607421875,268.32769775390625,619.0,266.0,0.033267002552747726,1.0197463035583496,0.0,0
1082.913330078125,265.87518310546875,1080.0,261.0,0.030484801158308983,1.03071129322052,1.0,0
1184.29052734375,253.18972778320312,1173.0,265.0,0.03607785701751709,1.0150748491287231,0.0,0
1294.378173828125,264.7310485839844,1273.0,276.0,0.032991088926792145,1.0270394086837769,1.0,1
404.9950866699219,270.55450439453125,397.0,265.0,0.03227575495839119,1.0180038213729858,0.0,0
543.281005859375,290.0345458984375,534.0,295.0,0.034474410116672516,1.0179122686386108,0.0,0
570.1871948242188,315.1742858886719,568.0,319.0,0.027314985170960426,1.0196073055267334,1.4142135381698608,1
522.7647705078125,307.3395690917969,526.0,303.0,0.030128037557005882,1.0162285566329956,0.0,0
857.8887329101562,354.0741882324219,845.0,356.0,0.030390553176403046,1.0307769775390625,1.4142135381698608,0
1026.7923583984375,357.2059631347656,1015.0,366.0,0.030141865834593773,1.033499002456665,1.0,1
1030.734619140625,301.55694580078125,1028.0,312.0,0.03753701597452164,1.0251832008361816,0.0,0
1451.7457275390625,354.90673828125,1430.0,353.0,0.03355345502495766,1.0346217155456543,1.4142135381698608,0
1571.697998046875,319.86968994140625,1564.0,317.0,0.03014475107192993,1.034529685974121,1.0,0
1699.800048828125,343.45050048828125,1691.0,341.0,0.030725952237844467,1.0292543172836304,1.4142135381698608,0
1610.129638671875,320.6731872558594,1590.0,332.0,0.030117996037006378,1.0252422094345093,1.0,0
1664.53564453125,334.53857421875,1656.0,340.0,0.02892175130546093,1.0234265327453613,0.0,0
1013.3751831054688,373.4611511230469,1001.0,372.0,0.02477778121829033,1.04245924949646,1.0,0
933.3939819335938,376.92816162109375,925.0,371.0,0.03078708052635193,1.0422755479812622,1.0,0
1022.6132202148438,365.31988525390625,1011.0,374.0,0.02846049889922142,1.0196759700775146,1.0,1
1112.3660888671875,383.0397033691406,1095.0,387.0,0.030711105093359947,1.039652943611145,1.0,0
1315.1370849609375,356.65728759765625,1300.0,368.0,0.028570016846060753,1.0197685956954956,1.0,0
1295.7374267578125,429.5839538574219,1286.0,431.0,0.03415685519576073,1.0235331058502197,0.0,0
1368.7620849609375,356.36712646484375,1348.0,366.0,0.02864016592502594,1.020681381225586,1.4142135381698608,1
1372.9140625,411.9723815917969,1353.0,410.0,0.03373264521360397,1.0183327198028564,1.4142135381698608,0
1658.2398681640625,410.4285888671875,1638.0,413.0,0.03214636445045471,1.0288333892822266,1.0,0
1431.8348388671875,459.1899719238281,1415.0,461.0,0.029956508427858353,1.026848316192627,1.0,0
1518.601806640625,473.8916931152344,1498.0,485.0,0.0278598815202713,1.0216675996780396,1.4142135381698608,0
1544.8424072265625,477.7953796386719,1535.0,480.0,0.030444147065281868,1.0250895023345947,0.0,0
1601.3380126953125,487.60382080078125,1580.0,486.0,0.03161681443452835,1.0197808742523193,1.0,0
1672.2294921875,483.17462158203125,1650.0,492.0,0.028530165553092957,1.026181697845459,1.4142135381698608,1
1607.392333984375,488.5824890136719,1594.0,490.0,0.030044490471482277,1.0375118255615234,0.0,0
