source_x,source_y,reference_x,reference_y,dx_px,dy_px,displacement_px
284.875,443.875,285.25,444.25,0.375,0.375,0.5303300858899106
368.875,446.125,369.25,444.25,0.375,-1.875,1.9121323175972944
368.875,457.375,355.75,451.75,-13.125,-5.625,14.279574573494829
696.625,458.125,720.25,462.25,23.625,4.125,23.982415432979224
385.375,461.125,384.25,459.25,-1.125,-1.875,2.1866069605669876
398.875,461.125,399.25,460.75,0.375,-0.375,0.5303300858899106
731.125,464.875,816.25,451.75,85.125,-13.125,86.13089602459735
346.375,466.375,345.25,468.25,-1.125,1.875,2.1866069605669876
299.125,467.125,298.75,465.25,-0.375,-1.875,1.9121323175972944
385.375,470.875,376.75,469.75,-8.625,-1.125,8.698060128557401
709.375,471.625,699.25,469.75,-10.125,-1.875,10.297147663309486
653.875,473.875,657.25,475.75,3.375,1.875,3.8608613028701253
341.125,478.375,328.75,474.25,-12.375,-4.125,13.044395348194564
308.125,479.125,303.25,477.25,-4.875,-1.875,5.223145603944045
374.875,485.125,372.25,486.25,-2.625,1.125,2.8559149146989657
383.125,485.125,384.25,486.25,1.125,1.125,1.590990257669732
398.125,485.875,397.75,486.25,-0.375,0.375,0.5303300858899106
644.125,485.875,643.75,484.75,-0.375,-1.125,1.1858541225631423
344.875,488.125,343.75,489.25,-1.125,1.125,1.590990257669732
330.625,494.875,327.25,495.25,-3.375,0.375,3.395769426801531
308.875,495.625,309.25,495.25,0.375,-0.375,0.5303300858899106
641.125,499.375,640.75,499.75,-0.375,0.375,0.5303300858899106
662.875,500.875,663.25,501.25,0.375,0.375,0.5303300858899106
517.375,502.375,517.75,498.25,0.375,-4.125,4.142010381445223
341.875,506.125,342.25,504.25,0.375,-1.875,1.9121323175972944
737.875,514.375,760.75,523.75,22.875,9.375,24.721574585774263
521.875,515.875,522.25,519.25,0.375,3.375,3.395769426801531
670.375,515.875,681.25,507.25,10.875,-8.625,13.880066642491311
339.625,518.875,342.25,519.25,2.625,0.375,2.6516504294495533
640.375,521.875,639.25,522.25,-1.125,0.375,1.1858541225631423
662.875,523.375,663.25,523.75,0.375,0.375,0.5303300858899106
620.875,524.125,621.25,522.25,0.375,-1.875,1.9121323175972944
356.875,525.625,357.25,525.25,0.375,-0.375,0.5303300858899106
668.125,536.125,667.75,537.25,-0.375,1.125,1.1858541225631423
683.875,536.875,684.25,537.25,0.375,0.375,0.5303300858899106
660.625,537.625,660.25,538.75,-0.375,1.125,1.1858541225631423
569.875,542.125,568.75,541.75,-1.125,-0.375,1.1858541225631423
387.625,544.375,388.75,543.25,1.125,-1.125,1.590990257669732
719.875,545.125,732.25,535.75,12.375,-9.375,15.525181158363338
695.875,545.875,694.75,549.25,-1.125,3.375,3.557562367689427
338.875,553.375,339.25,552.25,0.375,-1.125,1.1858541225631423
358.375,558.625,360.25,558.25,1.875,-0.375,1.9121323175972944
594.625,560.875,594.25,561.25,-0.375,0.375,0.5303300858899106
608.125,563.875,607.75,564.25,-0.375,0.375,0.5303300858899106
616.375,564.625,615.25,564.25,-1.125,-0.375,1.1858541225631423
527.875,567.625,528.25,568.75,0.375,1.125,1.1858541225631423
373.375,569.125,373.75,568.75,0.375,-0.375,0.5303300858899106
419.125,575.125,418.75,577.75,-0.375,2.625,2.6516504294495533
686.875,576.625,687.25,574.75,0.375,-1.875,1.9121323175972944
719.125,576.625,729.25,571.75,10.125,-4.875,11.237493047828773
405.625,577.375,411.25,577.75,5.625,0.375,5.63748614188984
392.875,578.125,402.25,577.75,9.375,-0.375,9.382497002397603
647.875,578.875,648.25,579.25,0.375,0.375,0.5303300858899106
579.625,579.625,579.25,580.75,-0.375,1.125,1.1858541225631423
593.875,579.625,594.25,579.25,0.375,-0.375,0.5303300858899106
668.875,581.125,669.25,580.75,0.375,-0.375,0.5303300858899106
531.625,583.375,531.25,585.25,-0.375,1.875,1.9121323175972944
389.875,584.125,388.75,580.75,-1.125,-3.375,3.557562367689427
539.125,584.125,538.75,583.75,-0.375,-0.375,0.5303300858899106
618.625,584.125,618.25,585.25,-0.375,1.125,1.1858541225631423
630.625,586.375,631.75,588.25,1.125,1.875,2.1866069605669876
709.375,586.375,708.25,586.75,-1.125,0.375,1.1858541225631423
697.375,587.125,700.75,586.75,3.375,-0.375,3.395769426801531
716.875,587.875,715.75,586.75,-1.125,-1.125,1.590990257669732
389.125,589.375,390.25,588.25,1.125,-1.125,1.590990257669732
440.125,593.125,439.75,592.75,-0.375,-0.375,0.5303300858899106
425.875,593.875,426.25,594.25,0.375,0.375,0.5303300858899106
718.375,596.125,720.25,595.75,1.875,-0.375,1.9121323175972944
467.875,597.625,466.75,600.25,-1.125,2.625,2.8559149146989657
549.625,598.375,553.75,598.75,4.125,0.375,4.142010381445223
527.125,599.125,526.75,600.25,-0.375,1.125,1.1858541225631423
734.125,599.125,742.75,598.75,8.625,-0.375,8.633148324916004
538.375,599.875,538.75,601.75,0.375,1.875,1.9121323175972944
434.125,601.375,433.75,601.75,-0.375,0.375,0.5303300858899106
746.125,610.375,747.25,607.75,1.125,-2.625,2.8559149146989657
734.125,611.125,733.75,610.75,-0.375,-0.375,0.5303300858899106
624.625,612.625,624.25,613.75,-0.375,1.125,1.1858541225631423
497.125,614.875,496.75,615.25,-0.375,0.375,0.5303300858899106
578.875,615.625,580.75,616.75,1.875,1.125,2.1866069605669876
746.125,617.125,754.75,624.25,8.625,7.125,11.187325417632223
751.375,617.125,768.25,625.75,16.875,8.625,18.951418152739915
452.875,620.125,451.75,619.75,-1.125,-0.375,1.1858541225631423
607.375,622.375,606.25,621.25,-1.125,-1.125,1.590990257669732
575.125,623.125,577.75,624.25,2.625,1.125,2.8559149146989657
592.375,623.875,591.25,624.25,-1.125,0.375,1.1858541225631423
571.375,626.125,570.25,627.25,-1.125,1.125,1.590990257669732
559.375,626.875,558.25,627.25,-1.125,0.375,1.1858541225631423
471.625,629.875,471.25,630.25,-0.375,0.375,0.5303300858899106
488.875,630.625,489.25,630.25,0.375,-0.375,0.5303300858899106
570.625,637.375,570.25,636.25,-0.375,-1.125,1.1858541225631423
563.875,647.125,562.75,649.75,-1.125,2.625,2.8559149146989657
560.125,659.875,561.25,657.25,1.125,-2.625,2.8559149146989657
508.375,662.875,508.75,663.25,0.375,0.375,0.5303300858899106
517.375,671.125,519.25,670.75,1.875,-0.375,1.9121323175972944
560.125,671.875,559.75,670.75,-0.375,-1.125,1.1858541225631423
548.875,693.625,549.25,693.25,0.375,-0.375,0.5303300858899106
542.125,719.125,543.25,718.75,1.125,-0.375,1.1858541225631423
557.125,719.875,556.75,720.25,-0.375,0.375,0.5303300858899106
541.375,725.875,541.75,729.25,0.375,3.375,3.395769426801531
559.375,743.875,559.75,745.75,0.375,1.875,1.9121323175972944
548.125,752.875,547.75,753.25,-0.375,0.375,0.5303300858899106
560.125,761.125,558.25,760.75,-1.875,-0.375,1.9121323175972944
957.375,257.875,1634.5,228.5,677.125,-29.375,677.7618728211258
972.375,263.875,1654.5,238.5,682.125,-25.375,682.5968108993771
890.625,264.625,1470.5,216.5,579.875,-48.125,581.8685687077452
986.625,267.625,1684.5,250.5,697.875,-17.125,698.0850816698492
1198.875,274.375,1948.5,298.5,749.625,24.125,750.0131040521892
873.375,275.125,1586.5,238.5,713.125,-36.625,714.064882381146
1042.875,275.875,1764.5,262.5,721.625,-13.375,721.7489392094733
986.625,279.625,1686.5,260.5,699.875,-19.125,700.1362590596204
1216.875,281.125,1970.5,294.5,753.625,13.375,753.7436774195854
969.375,284.875,1660.5,274.5,691.125,-10.375,691.2028690985013
1225.875,285.625,1980.5,294.5,754.625,8.875,754.6771867825341
986.625,288.625,1684.5,270.5,697.875,-18.125,698.1103288521092
956.625,289.375,1650.5,274.5,693.875,-14.875,694.0344236779614
1039.125,289.375,1744.5,276.5,705.375,-12.875,705.4924919869807
