source_x,source_y,reference_x,reference_y,ransac_residual_px
123.625,32.125,122.65234375,31.752464294433594,1.0999462880192235
118.375,47.125,119.12109375,45.89052963256836,1.4760694717467093
351.625,68.125,352.18359375,67.98126220703125,0.5775207900354865
282.625,74.125,282.44140625,74.16666412353516,0.21712846787558937
379.375,75.625,380.43359375,76.81755065917969,1.5024333738677693
363.625,78.625,363.66015625,78.58480834960938,0.1305962884907599
356.125,83.125,355.71484375,83.0029525756836,0.4871675891551005
388.375,86.125,388.37890625,85.65384674072266,0.5625866957093085
284.875,86.875,285.08984375,85.65384674072266,1.3023478944776758
378.625,87.625,379.55078125,87.42110443115234,0.9419649067154753
278.125,90.625,278.02734375,90.07199096679688,0.6297195750699692
290.125,90.625,290.38671875,90.07199096679688,0.6619827323332667
362.875,95.875,362.77734375,94.4901351928711,1.4692138033419646
380.125,99.625,380.43359375,98.90827941894531,0.8447391981281153
295.375,101.875,294.80078125,101.55916595458984,0.7092338864118379
346.375,101.875,346.88671875,104.21005249023438,2.314827084329618
352.375,101.875,354.83203125,102.44279479980469,2.4792376057858494
305.125,103.375,305.39453125,103.32642364501953,0.2663902559571583
103.375,104.125,103.23046875,104.21005249023438,0.18199797864270395
285.625,104.875,284.20703125,104.21005249023438,1.6144953189669755
367.375,106.375,366.30859375,105.9773178100586,1.1906648979552052
306.625,107.125,306.27734375,107.74457550048828,0.6736346957399753
107.125,107.875,107.64453125,108.62820434570312,0.888674189487401
316.375,109.375,315.98828125,108.62820434570312,0.9063251106302391
325.375,110.125,323.93359375,110.39546203613281,1.4824330717676824
98.125,113.875,97.93359375,114.81360626220703,0.9532830805972331
284.875,113.875,285.08984375,113.04634857177734,0.899103539460269
359.875,114.625,360.12890625,113.04634857177734,1.6603624754873259
349.375,116.125,350.41796875,113.92997741699219,2.476369875890781
328.375,118.375,329.23046875,118.3481216430664,0.8345901139302146
296.125,119.875,293.91796875,120.99900817871094,2.4770517468575934
113.875,122.125,113.82421875,121.88263702392578,0.2604594796859777
308.125,122.125,308.04296875,122.76626586914062,0.6008778991367811
359.125,122.875,358.36328125,121.88263702392578,1.3141592648563132
320.875,124.375,321.28515625,124.53352355957031,0.4006824164883721
295.375,125.875,294.80078125,126.30078887939453,0.7089780582595556
324.625,128.125,323.93359375,128.95167541503906,1.0560522599127042
353.875,128.125,353.94921875,128.0680389404297,0.12350291600502408
92.875,131.875,92.63671875,132.48619079589844,0.6665570009949395
116.125,136.375,116.47265625,136.0207061767578,0.48185187928714407
354.625,137.875,353.94921875,137.7879638671875,0.7116388787171525
90.625,139.375,91.75390625,136.9043426513672,2.700628214644149
89.875,143.125,89.98828125,143.08973693847656,0.09767989050250368
124.375,146.125,124.41796875,145.74063110351562,0.37948376834039665
161.875,155.875,162.37890625,155.46054077148438,0.6363759752976582
170.125,156.625,168.55859375,157.22779846191406,1.695819634119342
