source_x,source_y,reference_x,reference_y,ransac_residual_px
1034.625,251.125,1731.07421875,241.89370727539062,2.403829727067211
1063.125,254.125,1759.29296875,245.92520141601562,2.9233379171055125
995.625,271.375,1690.76171875,261.0433044433594,0.8243688360751754
1056.375,282.625,1751.23046875,273.1377868652344,1.2534448895911559
803.625,283.375,1495.24609375,271.1220397949219,2.7272551628485973
1050.375,285.625,1746.19140625,275.1535339355469,1.324464923273841
1129.875,289.375,1825.80859375,279.1850280761719,1.3370264866189763
729.375,299.125,1422.68359375,285.2322692871094,2.9549089907086414
989.625,299.875,1684.71484375,288.25592041015625,1.1158569113517918
1078.125,301.375,1774.41015625,290.27166748046875,1.7810941454831706
844.125,302.125,1537.57421875,291.279541015625,0.6022560898459223
991.125,303.625,1684.71484375,295.31103515625,2.5796975011635204
922.125,304.375,1614.16796875,294.30316162109375,2.2991231224180866
1099.875,305.875,1796.58203125,296.31890869140625,2.402461544634369
813.375,306.625,1507.33984375,294.30316162109375,1.3996834937578508
883.875,306.625,1577.88671875,294.30316162109375,1.460908754807383
662.625,310.375,1357.17578125,297.3267822265625,2.193362144850383
1147.875,310.375,1843.94921875,298.33465576171875,1.959432796242169
843.375,311.875,1537.57421875,299.342529296875,1.6362968358052892
705.375,312.625,1398.49609375,302.36614990234375,0.9774717078537359
805.125,317.125,1501.29296875,306.39764404296875,2.2331198087595467
852.375,320.875,1545.63671875,308.41339111328125,1.7376491029119723
843.375,321.625,1537.57421875,311.43701171875,0.7500864886323063
1206.375,322.375,1901.39453125,310.42913818359375,1.339478120146068
782.625,323.875,1477.10546875,314.46063232421875,1.6629037874794477
829.875,324.625,1523.46484375,313.4527587890625,0.4649207306176722
805.125,327.625,1500.28515625,316.47637939453125,1.2451870775357305
1077.375,327.625,1770.37890625,317.4842529296875,1.6199344816636345
1081.125,327.625,1776.42578125,315.468505859375,1.624483652042394
1120.125,329.125,1814.72265625,318.49212646484375,0.07035599937626777
850.125,332.125,1543.62109375,320.50787353515625,0.8688301975523466
774.375,334.375,1465.01171875,322.52362060546875,3.3322487669675884
1150.125,334.375,1842.94140625,325.5472412109375,2.6145204897210252
1225.875,334.375,1918.52734375,323.531494140625,2.176291254191876
864.375,335.125,1556.72265625,322.52362060546875,2.392529490382067
988.125,335.125,1682.69921875,323.531494140625,0.8207223337217812
955.125,335.875,1648.43359375,324.53936767578125,1.0516241280442447
790.125,342.625,1483.15234375,329.5787353515625,2.2295947516359584
955.125,343.375,1647.42578125,331.594482421875,2.1383156940745374
1159.875,344.125,1856.04296875,334.61810302734375,1.9140676323380064
1156.125,346.375,1849.99609375,337.6417236328125,2.111676815395522
1166.625,349.375,1860.07421875,339.657470703125,1.5610519671087075
1041.375,350.875,1735.10546875,338.64959716796875,1.581440238735381
813.375,353.125,1508.34765625,343.68896484375,1.872656888786033
902.625,354.625,1596.02734375,344.69683837890625,1.203496523325796
1212.375,359.875,1906.43359375,347.720458984375,1.641768490442654
734.625,361.375,1429.73828125,350.74407958984375,1.4443182304746203
957.375,361.375,1651.45703125,350.74407958984375,0.27260812857652955
1029.375,362.875,1725.02734375,352.7598571777344,1.472485840218416
823.875,365.125,1519.43359375,355.7834777832031,2.323218514163744
944.625,365.125,1638.35546875,351.7519836425781,2.524148034586513
979.125,371.125,1672.62109375,361.8307189941406,1.7401351291172624
1041.375,371.125,1734.09765625,362.8385925292969,3.021212816055878
1105.875,371.875,1800.61328125,361.8307189941406,0.7582693753040807
968.625,372.625,1662.54296875,360.8228454589844,0.9705686596676959
1120.875,377.875,1814.72265625,369.8937072753906,2.8637390641338523
642.375,378.625,1336.01171875,367.8779602050781,0.41988295054213837
1001.625,378.625,1695.80078125,366.8700866699219,0.9016980422566023
1072.125,380.125,1766.34765625,371.9094543457031,2.596359207840912
842.625,381.625,1536.56640625,369.8937072753906,0.7410602035888069
1250.625,386.875,1943.72265625,375.9409484863281,1.718500657568206
1203.375,387.625,1897.36328125,375.9409484863281,1.2045381542250078
650.625,389.875,1343.06640625,376.9488220214844,2.06998077497146
994.875,389.875,1689.75390625,377.9566955566406,1.217668328072165
732.375,390.625,1427.72265625,379.9724426269531,1.7188731593474469
970.125,393.625,1663.55078125,381.9881896972656,1.0583605779102598
799.875,396.625,1494.23828125,385.0118103027344,0.7871328183564382
700.875,398.125,1391.44140625,388.0354309082031,3.2123126894931726
655.875,401.125,1348.10546875,390.0511779785156,1.280007490442685
1204.125,401.875,1898.37109375,389.0433044433594,2.150390659444354
666.375,403.375,1361.20703125,393.0747985839844,1.5624018385314309
802.125,404.875,1495.24609375,395.0905456542969,1.4437529013108619
