reference_x,reference_y,source_x,source_y,residual_dy,residual_dx,residual_magnitude_px,peak_score,ambiguity_ratio,valid_fraction,stage1_accepted,fit_residual_px,fit_outlier,final_accepted
763.0,616.0,,,,,,,,0.7521694214876034,False,,,False
863.0,616.0,,,,,,,,0.8617768595041322,False,,,False
963.0,616.0,,,,,,,,0.9542355371900827,False,,,False
1063.0,616.0,157.27739337086678,618.3986086547375,0.6013913452625275,-0.2773933708667755,0.6622828945077058,6.063647270202637,1.4154074553265983,0.9970247933884298,True,0.12630438804626465,False,True
1163.0,616.0,257.1467562764883,618.2291444391012,0.7708555608987808,-0.14675627648830414,0.7847010261604642,5.916665077209473,1.8968065601096247,1.0,True,0.10048220306634903,False,True
1263.0,616.0,357.00765226362273,618.2337992936373,0.7662007063627243,-0.00765226362273097,0.766238918072744,5.524196624755859,2.6886036020773467,1.0,True,0.1666877269744873,False,True
1363.0,616.0,456.98468069173396,618.3622751832008,0.6377248167991638,0.015319308266043663,0.6379087890657074,5.345549583435059,2.8893754446013795,1.0,True,0.07383409887552261,False,True
1463.0,616.0,556.8937388658524,618.3322466611862,0.6677533388137817,0.10626113414764404,0.676155270723594,5.409414768218994,3.610358888806497,0.9857851239669422,True,0.15258286893367767,False,True
1563.0,616.0,656.7658421844244,618.4507302343845,0.5492697656154633,0.23415781557559967,0.597098951610537,5.276825428009033,3.593685698695815,0.9345454545454546,True,0.14102983474731445,False,True
1663.0,616.0,756.679454177618,618.5409418940544,0.45905810594558716,0.32054582238197327,0.5598963912018772,4.92985200881958,2.8421590145601336,0.8537190082644628,True,0.14392106235027313,False,True
1763.0,616.0,856.7326203882694,618.7904210686684,0.20957893133163452,0.26737961173057556,0.3397281048534303,5.068726062774658,2.7759100977003905,0.7713223140495867,True,0.17885829508304596,False,True
1863.0,616.0,956.7947675138712,618.8660276532173,0.13397234678268433,0.20523248612880707,0.24508970411886097,5.562504291534424,3.199671130000336,0.6914049586776859,True,0.23375126719474792,False,True
1963.0,616.0,1056.7829582691193,618.9032776355743,0.09672236442565918,0.2170417308807373,0.23761803114199145,5.446471691131592,3.5090640722342386,0.6155371900826446,True,0.25748589634895325,False,True
2063.0,616.0,1156.5937123298645,618.9514018855989,0.048598114401102066,0.40628767013549805,0.40918387997020833,4.8677873611450195,2.645348550958608,0.543801652892562,True,0.20187382400035858,False,True
2163.0,616.0,1256.4381650984287,618.7781403511763,0.2218596488237381,0.5618349015712738,0.6040531105786935,4.4983673095703125,4.04419447308655,0.4766942148760331,True,0.04745961353182793,False,True
2263.0,616.0,1356.3921871185303,618.857652053237,0.14234794676303864,0.6078128814697266,0.6242591103285435,4.840336322784424,2.195597437072641,0.4103305785123967,True,0.019683245569467545,False,True
2363.0,616.0,,,,,,,,0.24826446280991735,False,,,False
2463.0,616.0,,,,,,,,0.11320247933884298,False,,,False
163.0,716.0,,,,,,,,0.0,False,,,False
263.0,716.0,,,,,,,,0.0,False,,,False
363.0,716.0,,,,,,,,0.0,False,,,False
463.0,716.0,,,,,,,,0.016735537190082646,False,,,False
563.0,716.0,,,,,,,,0.08266528925619834,False,,,False
663.0,716.0,,,,,,,,0.18863636363636363,False,,,False
763.0,716.0,,,,,,,,0.29762396694214877,False,,,False
863.0,716.0,,,,,,,,0.4072314049586777,False,,,False
963.0,716.0,,,,,,,,0.5187809917355372,False,,,False
1063.0,716.0,-62.0,500.0,219.0,219.0,309.7127701597078,0.0,0.0,0.6327066115702479,False,,,False
1163.0,716.0,38.0,500.0,219.0,219.0,309.7127701597078,0.0,0.0,0.7487809917355371,False,,,False
1263.0,716.0,138.0,500.0,219.0,219.0,309.7127701597078,0.0,0.0,0.8657024793388429,False,,,False
1363.0,716.0,671.5067519843578,607.9917928064242,111.0082071935758,-214.50675198435783,241.5284014587325,6.066965579986572,1.1010481434655022,0.9585537190082645,False,,,False
1463.0,716.0,557.0041488166898,718.5584270954132,0.441572904586792,-0.0041488166898489,0.4415923943470291,5.4537248611450195,1.5675695530532157,0.9983471074380166,True,0.16843704879283905,False,True
1563.0,716.0,656.676760673523,718.4147154092789,0.5852845907211304,0.3232393264770508,0.6686117814673463,5.061029434204102,1.7633171484421337,1.0,True,0.17077675461769104,False,True
1663.0,716.0,756.4852368235588,718.4029830694199,0.5970169305801392,0.5147631764411926,0.7882958475211937,4.667607307434082,2.1304294361828706,1.0,True,0.3067684471607208,False,True
1763.0,716.0,856.7135818600655,718.7357170283794,0.2642829716205597,0.2864181399345398,0.3897189243187392,5.102728843688965,2.4712136988749847,1.0,True,0.17324835062026978,False,True
1863.0,716.0,956.808350905776,718.8141030222178,0.18589697778224945,0.19164909422397614,0.26699637013533467,5.616707801818848,3.3271478815404305,1.0,True,0.2686874270439148,False,True
1963.0,716.0,1056.775337934494,718.8567657768726,0.1432342231273651,0.22466206550598145,0.2664377720074872,5.347777366638184,3.725459547366595,1.0,True,0.28979748487472534,False,True
2063.0,716.0,1156.5564365684986,718.9670516289771,0.03294837102293968,0.44356343150138855,0.444785468420847,4.727994918823242,2.6040913758017035,0.9801652892561984,True,0.26869985461235046,False,True
2163.0,716.0,1256.3866662681103,718.7816898673773,0.2183101326227188,0.6133337318897247,0.6510280951537544,4.456657409667969,4.672303569395455,0.9312396694214876,True,0.050462160259485245,False,True
2263.0,716.0,1356.335885077715,718.7892204225063,0.2107795774936676,0.66411492228508,0.6967615519603007,4.645984172821045,3.8223831816214933,0.8648760330578512,True,0.025833088904619217,False,True
2363.0,716.0,1456.304338902235,718.638186186552,0.36181381344795227,0.6956610977649689,0.7841260093539247,4.33439826965332,3.5405682270540018,0.6730578512396694,True,0.20982620120048523,False,True
2463.0,716.0,,,,,,,,0.37175619834710744,False,,,False
163.0,816.0,,,,,,,,0.0,False,,,False
263.0,816.0,,,,,,,,0.0,False,,,False
363.0,816.0,,,,,,,,0.0,False,,,False
463.0,816.0,,,,,,,,0.0,False,,,False
563.0,816.0,,,,,,,,0.0,False,,,False
663.0,816.0,,,,,,,,0.0,False,,,False
763.0,816.0,,,,,,,,0.0,False,,,False
863.0,816.0,,,,,,,,0.011446280991735537,False,,,False
963.0,816.0,,,,,,,,0.07136363636363637,False,,,False
1063.0,816.0,,,,,,,,0.17816115702479338,False,,,False
1163.0,816.0,,,,,,,,0.29423553719008266,False,,,False
1263.0,816.0,138.0,600.0,219.0,219.0,309.7127701597078,0.0,0.0,0.41115702479338845,False,,,False
1363.0,816.0,238.0,600.0,219.0,219.0,309.7127701597078,0.0,0.0,0.5280371900826446,False,,,False
1463.0,816.0,338.0,600.0,219.0,219.0,309.7127701597078,0.0,0.0,0.645206611570248,False,,,False
1563.0,816.0,438.0,600.0,219.0,219.0,309.7127701597078,0.0,0.0,0.7626033057851239,False,,,False
1663.0,816.0,538.0,600.0,219.0,219.0,309.7127701597078,0.0,0.0,0.8797107438016529,False,,,False
1763.0,816.0,984.9143448099494,825.611493319273,-6.611493319272995,-127.9143448099494,128.08509457415184,6.468596935272217,1.0779651602608928,0.9662809917355372,False,,,False
1863.0,816.0,956.6114424467087,818.7644917666912,0.23550823330879211,0.3885575532913208,0.4543578987714047,5.125465393066406,1.1337313795541726,0.9995661157024793,False,,,False
1963.0,816.0,1056.6628255844116,818.8356643021107,0.164335697889328,0.3371744155883789,0.37509039994131727,4.796568870544434,2.388775020476129,1.0,True,0.27209606766700745,False,True
2063.0,816.0,1156.473720639944,818.7211823761463,0.27881762385368347,0.5262793600559235,0.5955747074820139,4.281893730163574,2.6575382844256485,1.0,True,0.07157591730356216,False,True
2163.0,816.0,1256.302207827568,818.7706519812346,0.22934801876544952,0.6977921724319458,0.7345164597331576,4.275371551513672,2.942266483687773,1.0,True,0.10093376785516739,False,True
2263.0,816.0,1356.276615023613,818.6847302913666,0.31526970863342285,0.7233849763870239,0.7891012693211553,4.375357151031494,3.0799535008969277,1.0,True,0.07293770462274551,False,True
2363.0,816.0,1456.236759379506,818.5733387470245,0.42666125297546387,0.7632406204938889,0.8744004057424088,4.10842752456665,3.6289234905909513,0.9362396694214876,True,0.22451332211494446,False,True
2463.0,816.0,1556.0975261032581,818.5751732289791,0.4248267710208893,0.9024738967418671,0.9974652473527512,3.9415762424468994,3.632706815738258,0.5384917355371901,True,0.280092716217041,False,True
163.0,916.0,,,,,,,,0.0,False,,,False
263.0,916.0,,,,,,,,0.0,False,,,False
363.0,916.0,,,,,,,,0.0,False,,,False
463.0,916.0,,,,,,,,0.0,False,,,False
563.0,916.0,,,,,,,,0.0,False,,,False
663.0,916.0,,,,,,,,0.0,False,,,False
763.0,916.0,,,,,,,,0.0,False,,,False
863.0,916.0,,,,,,,,0.0,False,,,False
963.0,916.0,,,,,,,,0.0,False,,,False
1063.0,916.0,,,,,,,,0.0,False,,,False
1163.0,916.0,,,,,,,,0.0,False,,,False
1263.0,916.0,,,,,,,,0.014070247933884297,False,,,False
1363.0,916.0,,,,,,,,0.0793595041322314,False,,,False
1463.0,916.0,,,,,,,,0.1906611570247934,False,,,False
1563.0,916.0,,,,,,,,0.30805785123966944,False,,,False
1663.0,916.0,538.0,700.0,219.0,219.0,309.7127701597078,0.0,0.0,0.4253099173553719,False,,,False
1763.0,916.0,638.0,700.0,219.0,219.0,309.7127701597078,0.0,0.0,0.5422520661157024,False,,,False
1863.0,916.0,738.0,700.0,219.0,219.0,309.7127701597078,0.0,0.0,0.6587603305785124,False,,,False
1963.0,916.0,838.0,700.0,219.0,219.0,309.7127701597078,0.0,0.0,0.7743388429752066,False,,,False
2063.0,916.0,938.0,700.0,219.0,219.0,309.7127701597078,0.0,0.0,0.8882644628099173,False,,,False
2163.0,916.0,1256.4518558382988,918.7664837986231,0.23351620137691498,0.5481441617012024,0.5958119152153789,4.412909984588623,1.0770805265397367,0.9698760330578512,False,,,False
2263.0,916.0,1356.3366397619247,918.6245917677879,0.37540823221206665,0.6633602380752563,0.7622192245488497,4.38994026184082,1.8276313149966812,0.9998347107438017,True,0.10955394059419632,False,True
2363.0,916.0,1456.1733281165361,918.6826534569263,0.3173465430736542,0.8266718834638596,0.8854915196152269,4.148573875427246,2.7827228668456208,0.9288429752066115,True,0.06720679998397827,False,True
2463.0,916.0,1556.1134828329086,918.6963036060333,0.3036963939666748,0.8865171670913696,0.9370934783980033,4.134225845336914,2.2529684043015608,0.48076446280991736,True,0.09939132630825043,False,True
163.0,1016.0,,,,,,,,0.0,False,,,False
263.0,1016.0,,,,,,,,0.0,False,,,False
363.0,1016.0,,,,,,,,0.0,False,,,False
463.0,1016.0,,,,,,,,0.0,False,,,False
563.0,1016.0,,,,,,,,0.0,False,,,False
663.0,1016.0,,,,,,,,0.0,False,,,False
763.0,1016.0,,,,,,,,0.0,False,,,False
863.0,1016.0,,,,,,,,0.0,False,,,False
963.0,1016.0,,,,,,,,0.0,False,,,False
1063.0,1016.0,,,,,,,,0.0,False,,,False
1163.0,1016.0,,,,,,,,0.0,False,,,False
1263.0,1016.0,,,,,,,,0.0,False,,,False
1363.0,1016.0,,,,,,,,0.0,False,,,False
1463.0,1016.0,,,,,,,,0.0,False,,,False
1563.0,1016.0,,,,,,,,0.0,False,,,False
1663.0,1016.0,,,,,,,,0.01925619834710744,False,,,False
1763.0,1016.0,,,,,,,,0.0909504132231405,False,,,False
1863.0,1016.0,,,,,,,,0.20421487603305785,False,,,False
1963.0,1016.0,,,,,,,,0.3197933884297521,False,,,False
2063.0,1016.0,938.0,800.0,219.0,219.0,309.7127701597078,0.0,0.0,0.4340495867768595,False,,,False
2163.0,1016.0,1038.0,800.0,219.0,219.0,309.7127701597078,0.0,0.0,0.5471694214876033,False,,,False
2263.0,1016.0,1138.0,800.0,219.0,219.0,309.7127701597078,0.0,0.0,0.6599380165289256,False,,,False
2363.0,1016.0,1238.0,800.0,219.0,219.0,309.7127701597078,0.0,0.0,0.6359504132231405,False,,,False
2463.0,1016.0,,,,,,,,0.3154338842975207,False,,,False
