source_x,source_y,reference_x,reference_y,ransac_residual_px
2204.625,626.125,2145.8125,618.5625,2.747510468194661
2209.875,629.875,2149.3125,622.9375,0.8186555145802956
2213.625,629.875,2155.4375,622.9375,0.9435349129415078
2217.375,630.625,2159.8125,622.9375,0.34554459767275203
2227.875,630.625,2172.9375,622.9375,2.125064909971952
2269.125,634.375,2232.4375,630.8125,0.8843534184045804
2281.875,638.125,2251.6875,634.3125,2.145760164203303
2285.625,638.125,2256.9375,634.3125,2.044589243798761
2292.375,638.125,2263.0625,634.3125,1.6103914066678304
2296.125,638.125,2268.3125,635.1875,1.6049865020083114
2297.625,641.875,2272.6875,637.8125,2.1400694062690193
2320.875,642.625,2300.6875,642.1875,3.3610049488300815
2341.125,646.375,2331.3125,646.5625,0.851089787850175
2354.625,650.125,2350.5625,650.9375,1.27979515983523
2359.125,650.125,2354.9375,650.9375,1.182410364027134
2365.125,650.125,2364.5625,650.9375,0.17904417891298263
2365.875,653.875,2366.3125,655.3125,2.1159227586653913
2209.875,629.875,2149.26953125,623.5315551757812,1.414089845694785
2217.375,630.625,2158.09765625,622.64794921875,1.8349754089243648
2292.375,638.125,2264.03515625,634.1351318359375,0.9393443052566989
2296.125,638.125,2268.44921875,634.1351318359375,1.7773100424873163
2297.625,641.875,2271.09765625,638.55322265625,0.40646733288772513
2308.875,641.875,2286.98828125,638.55322265625,0.9531236131560211
2332.125,646.375,2317.88671875,643.85498046875,1.546173265825869
2354.625,650.125,2350.55078125,650.0404052734375,0.9962358644432053
2359.125,650.125,2354.96484375,650.0404052734375,1.092285100129084
2365.125,650.125,2364.67578125,650.0404052734375,0.7256840257275436
2365.875,653.875,2366.44140625,654.4585571289062,2.047009107373069
2389.125,674.125,2389.39453125,673.8984375,2.051475641859634
2389.125,681.625,2388.51171875,681.85107421875,0.6990204409644677
2397.375,681.625,2400.87109375,686.2692260742188,3.318960713325941
2440.125,758.125,2436.18359375,759.6104736328125,0.5027286472789348
2443.875,758.125,2440.59765625,758.726806640625,0.96318925461282
