source_x,source_y,reference_x,reference_y,ransac_residual_px
1128.375,653.875,2032.78515625,651.7723388671875,1.8518062896759264
1123.125,674.125,2028.75390625,670.9419555664062,0.5316230377200896
1121.625,683.875,2025.73046875,681.03125,2.133321940885582
1034.625,690.625,1940.06640625,687.0848388671875,0.8585335266744
1048.625,617.125,1955.2916259765625,613.49609375,1.0685661042323886
1101.875,632.125,2009.175048828125,628.50390625,1.5757349273558536
1038.875,646.375,1943.808349609375,640.86328125,2.3889622651104787
1110.125,647.875,2016.24169921875,644.39453125,0.3913114506534407
1038.125,651.625,1944.691650390625,645.27734375,3.1045935263867395
1078.625,653.875,1984.441650390625,650.57421875,0.1693481430093282
1128.125,654.625,2033.0250244140625,650.57421875,1.4516857058478272
1161.875,665.875,2067.47509765625,663.81640625,1.049208544779855
1095.875,668.875,2002.99169921875,666.46484375,1.258236586063735
1122.875,673.375,2028.6083984375,670.87890625,0.7008871769282331
1199.375,676.375,2106.341796875,673.52734375,0.7699509414061746
1168.625,679.375,2072.77490234375,676.17578125,2.0757768474832474
1131.875,680.125,2038.324951171875,677.05859375,0.25092658632031783
1210.625,681.625,2116.941650390625,679.70703125,0.9232284959082677
1121.375,683.875,2025.9583740234375,681.47265625,1.7687772566802396
1107.875,686.125,2014.4749755859375,683.23828125,0.4072268471806273
1077.125,687.625,1983.558349609375,684.12109375,0.39957788228982494
1095.125,687.625,2003.875,685.88671875,2.851768538770724
1142.375,689.125,2048.925048828125,685.00390625,1.1609641897339706
1176.125,690.625,2083.375,687.65234375,0.9444439756379029
1035.125,691.375,1940.2750244140625,687.65234375,1.203591886916822
1116.125,693.625,2020.6583251953125,691.18359375,1.8759179139654236
1104.875,698.125,2010.058349609375,695.59765625,1.2781610124111737
1380.875,698.125,2289.191650390625,695.59765625,1.866452974963131
1078.625,706.375,1986.2083740234375,704.42578125,1.662054550891154
1393.625,706.375,2301.558349609375,705.30859375,1.902147972135209
1344.125,707.125,2251.208251953125,706.19140625,1.6371650113538476
1113.125,710.875,2020.6583251953125,707.07421875,1.3302596387905021
1131.875,712.375,2038.324951171875,710.60546875,1.207524743445972
1296.875,712.375,2203.50830078125,708.83984375,0.9645000428887686
1437.875,713.125,2343.95849609375,711.48828125,0.7900320010281552
1470.125,713.875,2375.75830078125,712.37109375,1.183236167917302
1253.375,716.125,2161.1083984375,715.90234375,2.7206533048145607
1059.125,725.125,1965.00830078125,722.08203125,0.6731489471585008
1317.125,725.875,2222.941650390625,721.19921875,2.3321944421934715
1423.625,726.625,2329.824951171875,722.96484375,1.5081043236888414
1392.125,727.375,2298.02490234375,722.96484375,2.2427852194188715
1042.625,728.125,1949.99169921875,724.73046875,0.82950295271305
1405.625,728.875,2313.041748046875,728.26171875,1.80652747323129
1303.625,729.625,2210.574951171875,724.73046875,2.380178601132044
1253.375,731.125,2161.99169921875,729.14453125,2.0480591175322207
1344.875,731.875,2251.208251953125,730.02734375,0.696899333898006
1403.375,737.125,2309.50830078125,735.32421875,0.810900566437661
1329.125,738.625,2236.191650390625,736.20703125,0.2936771538003994
1443.125,740.875,2350.1416015625,738.85546875,0.23138209455181596
1313.375,743.125,2221.175048828125,742.38671875,2.0066376607224408
1347.125,744.625,2253.8583984375,742.38671875,0.18708074426798527
1484.375,746.125,2389.8916015625,744.15234375,1.3877439014865096
1254.875,750.625,2160.22509765625,746.80078125,1.9256852309452481
1441.625,750.625,2349.25830078125,748.56640625,0.7179888629986738
1437.875,756.625,2344.841796875,753.86328125,0.6067088584844047
1323.125,760.375,2230.8916015625,756.51171875,1.6486635087899928
584.875,592.375,1490.55078125,588.9598388671875,1.185494138985083
