source_x,source_y,reference_x,reference_y,confidence,prior_residual_px
718.0,160.0,718.31305,159.36768,0.64418775,0.9124186720460815
846.0,72.0,846.76953,72.6757,0.91282934,0.9253997080112668
886.0,40.0,886.7207,39.505764,0.93427974,0.9287073347818738
910.0,72.0,910.4674,73.02426,0.70940155,0.9332093734291417
653.0,572.0,653.62787,571.9347,0.46976137,0.9337907200162218
878.0,52.0,877.825,51.259098,0.97832817,0.9340421177644535
894.0,56.0,895.01,56.00654,0.902799,0.9403528132128809
740.0,144.0,739.04144,144.65791,0.2405641,0.9524354690523293
854.0,780.0,854.35925,779.06854,0.81531185,0.9628250992383243
870.0,76.0,870.4463,77.0478,0.4367725,0.9775125414641161
910.0,80.0,911.0075,79.748375,0.7921855,0.987560379915659
469.0,340.0,468.92752,340.8806,0.2278762,0.9938247228390816
894.0,64.0,893.1018,64.326065,0.6582696,0.9949301052906383
916.0,88.0,917.05743,87.789276,0.5855059,1.0076558543760987
854.0,64.0,853.56024,63.258106,0.78713924,1.009566390260629
900.0,72.0,899.915,73.161606,0.34719196,1.0161515105635786
469.0,340.0,469.2596,339.50018,0.9160161,1.0277281488315948
908.0,92.0,908.83124,92.89327,0.22905615,1.0328848423143038
876.0,76.0,876.9022,76.760796,0.7418104,1.040991864323564
900.0,60.0,899.6868,59.199833,0.91626155,1.0465187122561024
892.0,52.0,891.7452,53.158047,0.33795324,1.047398987958599
589.0,260.0,589.3047,260.8399,0.278745,1.0474382992111908
916.0,160.0,916.6422,159.21284,0.34403968,1.0636474107904763
894.0,48.0,894.8273,47.405003,0.6862166,1.0650632319561615
908.0,76.0,909.10614,75.781265,0.8310736,1.0693072054150228
868.0,52.0,868.8843,51.49822,0.8875683,1.0744359424621246
934.0,104.0,934.3794,103.10656,0.3361698,1.0748812777350862
537.0,420.0,536.48914,418.94992,0.22031468,1.0825862990993516
876.0,52.0,876.71295,51.286495,0.96036553,1.0976064507919094
934.0,100.0,933.4409,101.01651,0.47886997,1.1136546116954453
876.0,48.0,875.73474,47.09573,0.96676934,1.1154856852818344
854.0,764.0,855.0534,764.442,0.62140566,1.1215353346302608
624.0,236.0,622.97644,236.99359,0.25701427,1.1228383642576942
934.0,108.0,933.9091,107.05139,0.3090443,1.1302459701593246
844.0,792.0,844.6943,792.916,0.36529946,1.1638026366290997
910.0,196.0,911.0965,196.76573,0.37013078,1.171342698574143
900.0,60.0,901.2313,59.787514,0.98618615,1.199038477106218
648.0,572.0,648.54767,572.84924,0.35993266,1.2042302312434687
894.0,52.0,893.04895,52.80507,0.5388259,1.2157161449982534
740.0,148.0,741.0521,148.08081,0.56024873,1.221730352738035
910.0,80.0,911.16626,80.78784,0.2724435,1.2286975230801982
774.0,800.0,774.6378,798.9687,0.5930991,1.2354357830677327
846.0,76.0,847.25775,76.16175,0.92815703,1.2534161843036904
852.0,780.0,852.886,779.0579,0.8889616,1.2542927844058611
902.0,72.0,901.7258,73.37693,0.5328931,1.2707786359559918
433.0,636.0,431.89243,637.1594,0.4067829,1.2733744366910837
894.0,60.0,895.21204,59.566666,0.76918787,1.2770325266283353
926.0,100.0,927.22205,100.84537,0.3032284,1.2852906466126626
908.0,80.0,909.2095,79.46279,0.7293757,1.304755362050238
910.0,88.0,911.276,88.77442,0.5062226,1.3187318300474167
846.0,80.0,847.1898,79.55425,0.9742565,1.328152781279864
892.0,60.0,893.36694,59.822834,0.61574167,1.3314085438635406
774.0,796.0,774.7769,796.9652,0.2204136,1.3321841314055725
718.0,164.0,716.99225,163.04626,0.66167,1.3390654409234692
908.0,72.0,908.90137,73.241104,0.42307606,1.340202760817334
541.0,760.0,541.46356,760.91046,0.22889647,1.3523063247823395
894.0,52.0,895.38544,51.798668,0.82922566,1.3532012239307696
656.0,204.0,655.31445,205.41614,0.9893633,1.3689322431124138
852.0,764.0,852.9431,765.00867,0.4856038,1.3775961702499744
862.0,60.0,860.94,59.317818,0.99072057,1.3778710676439325
924.0,100.0,924.9801,101.24599,0.24659431,1.3796938014184255
766.0,800.0,766.8811,800.9243,0.5187451,1.3846184511465685
854.0,80.0,855.3763,80.55493,0.37239817,1.4165241404028532
732.0,148.0,732.6185,146.95267,0.44000363,1.4183342023056844
