source_x,source_y,reference_x,reference_y,confidence,prior_residual_px,final_residual_px
592.0,252.0,591.5855,252.11908,0.28922927,0.03771282267599858,0.45103377953030505
894.0,60.0,894.1306,60.253334,0.8953374,0.10147302791039564,0.45176838249549256
624.0,236.0,623.74225,236.14825,0.45087105,0.11651189934278418,0.36289475745427224
892.0,56.0,892.1842,56.040394,0.26114944,0.16218428575227276,0.43919446605355195
902.0,76.0,902.26624,76.22612,0.72178936,0.18185932140005642,0.34445614409643766
592.0,252.0,591.7661,252.03604,0.80550194,0.18245125956070593,0.25423324182182866
656.0,572.0,655.8689,571.9043,0.52721655,0.19579231021556734,0.5340131125908036
860.0,64.0,859.8375,64.23433,0.8783857,0.20408771726659183,0.6713280591596524
637.0,500.0,636.6852,500.23404,0.9757773,0.21196659732428394,0.5799992627135409
916.0,92.0,916.25867,92.326515,0.2663227,0.2183271881371511,0.393680993428137
469.0,340.0,468.61008,340.06436,0.57078224,0.22230213216329486,0.2630932740136291
876.0,80.0,876.19794,79.956635,0.35744557,0.2464147211231299,0.44855844472499695
894.0,56.0,894.09216,56.451214,0.28279966,0.2866761781161182,0.5308380367049926
637.0,500.0,636.95807,500.0441,0.97987336,0.2899675498374115,0.30346002474937545
836.0,72.0,835.928,72.45176,0.9835902,0.3034284739536039,0.5952065101845622
852.0,60.0,851.91583,59.843124,0.93995863,0.3308484449931429,0.6725281396887107
860.0,60.0,859.89685,60.472652,0.5103769,0.3387234450722461,0.6652554558079131
894.0,72.0,893.9359,71.84189,0.4572829,0.3511517362216503,0.7689676374209874
661.0,572.0,660.3586,571.9663,0.2633307,0.3537282131692721,1.0091205137210373
640.0,500.0,639.6974,500.3947,0.7965124,0.37243509755420584,0.6262577375981526
838.0,72.0,838.35156,72.26499,0.96612656,0.37703046099075765,0.13749973615249336
629.0,492.0,628.4691,491.69162,0.4238181,0.38099169405107136,0.8658242965326974
918.0,88.0,917.7362,88.21729,0.45943978,0.39144162738251626,0.9177742727242557
852.0,64.0,852.2825,63.860355,0.9151926,0.40089616778824033,0.3963763278423818
860.0,64.0,860.4292,64.15434,0.30539778,0.40204754598596915,0.09490941079127249
645.0,500.0,645.0497,499.815,0.8623228,0.42264852352638144,0.3805324019551014
854.0,60.0,853.5884,60.15554,0.51442456,0.42884060343291447,0.9052379947538284
860.0,68.0,859.8165,68.53411,0.65488523,0.43120063680637594,0.7666928215614465
934.0,108.0,934.5828,108.1696,0.40498772,0.4329587504059627,0.17889923814294614
892.0,72.0,892.5114,72.12091,0.5971761,0.43311870208557557,0.14452085684353375
852.0,776.0,852.4047,775.75543,0.38096303,0.43506563974194473,0.8530029311647056
910.0,76.0,910.55725,76.20545,0.73124003,0.44957723449031717,0.09324856065309016
886.0,36.0,885.65906,35.975464,0.9808532,0.4537083129367195,0.9262676316714406
732.0,148.0,732.27594,148.17339,0.28986233,0.4606684416690155,0.07976656275792342
661.0,572.0,660.5214,572.4319,0.8794983,0.46503642351121083,0.8666723790875202
860.0,56.0,859.54236,56.15405,0.9073576,0.4846989584124092,0.9627317182821529
892.0,60.0,892.51514,60.41426,0.72618306,0.5023908075467804,0.18404763774271563
640.0,500.0,640.20123,500.12354,0.9754685,0.5368881995566331,0.058637990963675446
894.0,68.0,893.85876,68.665634,0.6169649,0.5517892084294677,0.840104809427357
862.0,56.0,862.096,55.61056,0.99062943,0.5545592598633222,0.7243493428755154
844.0,72.0,844.5296,72.33141,0.97270846,0.5572383524447567,0.14923295370501488
878.0,80.0,878.24866,79.62971,0.721746,0.5607719007417341,0.6776298791954131
854.0,64.0,854.5004,64.44379,0.8409335,0.5611872379264655,0.24376402051092616
608.0,452.0,607.10767,452.28412,0.35176152,0.5711152825433632,1.0757542786311938
852.0,72.0,852.02203,71.58451,0.32417214,0.5715614060782742,0.776728315694361
900.0,76.0,900.48486,76.57791,0.715279,0.5725029189050309,0.34350232056542124
648.0,500.0,648.0314,499.56534,0.20018424,0.5734520785003226,0.6141780792520959
846.0,792.0,846.4526,792.34814,0.6108482,0.5746582997706153,0.44612267341346185
553.0,752.0,553.0525,751.69604,0.32790083,0.5752056610876081,0.44458755857237486
884.0,76.0,884.65186,76.11311,0.6196694,0.5866173901835895,0.1500201402917812
876.0,44.0,875.8613,43.604984,0.38340744,0.592721445185765,0.9089454184264668
934.0,100.0,934.7027,100.38786,0.83582777,0.598777610565087,0.08544366963146846
838.0,76.0,838.5403,76.503334,0.43153057,0.6510972634000007,0.32546772908066374
892.0,68.0,892.2191,68.80772,0.6531637,0.6611353298620122,0.6704710886645651
878.0,76.0,878.7134,76.293144,0.87603307,0.6700848236008135,0.16965480221281065
624.0,460.0,624.31177,460.12048,0.25863445,0.6710719109071703,0.11549411780210914
908.0,192.0,908.4195,192.72816,0.597772,0.6728373790556231,0.499184008819615
734.0,148.0,733.9313,148.79276,0.24353464,0.6780425616133785,0.7758171284108779
910.0,192.0,910.50665,192.70947,0.47088987,0.6997137635868631,0.44099781568936003
870.0,48.0,870.5749,47.703106,0.95436525,0.7036455515897723,0.5118514232091398
584.0,580.0,584.2625,579.8049,0.35275418,0.7057599778699308,0.2926839589030462
884.0,40.0,884.1425,39.44358,0.90927607,0.7281387101556078,0.8806172488715627
934.0,104.0,933.98566,104.86944,0.31043604,0.7314616543554787,0.9082508277076083
910.0,84.0,910.86,84.18336,0.51673716,0.7503538236338132,0.2442902468525123
886.0,52.0,886.18726,51.402218,0.50066525,0.7716211201718183,0.9092049040286804
852.0,64.0,852.62274,63.680294,0.901874,0.7738546131615193,0.5342164420908389
836.0,76.0,836.7661,76.2661,0.74097294,0.7863775828001986,0.31568665650425926
846.0,796.0,846.2961,796.7071,0.55683714,0.7878971481633353,0.6420710467072683
924.0,88.0,923.4317,88.52007,0.9529216,0.7886297096636723,1.255329628171679
656.0,204.0,656.3386,203.64056,0.92674214,0.7921629498260898,0.44135118668179546
584.0,580.0,584.3079,579.6222,0.5043277,0.8155955469055827,0.4808025424564651
862.0,64.0,862.1183,64.979355,0.45157218,0.8248839316139606,0.8654415263230723
950.0,124.0,950.2355,124.99068,0.67237526,0.8394575853866408,0.8339779205276248
852.0,768.0,852.49115,768.68164,0.25975212,0.8425886307569957,0.45522209280597975
868.0,76.0,868.15027,76.99975,0.3317757,0.8501252853714347,0.8684703428296768
734.0,148.0,734.5069,148.64523,0.30608612,0.8614373367518166,0.5967976673842542
862.0,60.0,861.7707,60.985294,0.62299615,0.8650124167866686,1.0733947289580863
844.0,796.0,844.8502,796.2224,0.42384169,0.8714647823135498,0.23523476091691606
846.0,788.0,846.8878,787.8592,0.4694764,0.8755015759552258,0.5954787111718377
868.0,80.0,868.0944,81.0401,0.33567026,0.8860342990049596,0.9296439423442776
509.0,380.0,507.62543,380.36597,0.548894,0.8917625500245414,1.3462476454645442
892.0,64.0,891.7471,64.99129,0.5586791,0.8932133857436467,1.1199425478031968
854.0,76.0,854.7831,76.63161,0.20768882,0.9016678190640314,0.5115739255939717
844.0,76.0,844.9053,76.124596,0.91453755,0.9046948566981381,0.43162020855350675
718.0,160.0,718.31305,159.36768,0.64418775,0.9124186720460815,0.7183268244448534
846.0,72.0,846.76953,72.6757,0.91282934,0.9253997080112668,0.5612706291834478
886.0,40.0,886.7207,39.505764,0.93427974,0.9287073347818738,0.7406492384497066
910.0,72.0,910.4674,73.02426,0.70940155,0.9332093734291417,0.774694585667121
