source_x,source_y,reference_x,reference_y,dx_px,dy_px,displacement_px
1188.375,237.625,1889.0,264.0,700.625,26.375,701.1212671499845
1151.625,240.625,1848.0,258.0,696.375,17.375,696.591724936494
1124.625,243.625,1820.0,255.0,695.375,11.375,695.4680303579742
1117.125,252.625,1817.0,263.0,699.875,10.375,699.9518956685523
1063.125,254.125,1759.0,246.0,695.875,-8.125,695.9224319203973
1088.625,262.375,1777.0,260.0,688.375,-2.375,688.3790970460972
972.375,263.875,1667.0,250.0,694.625,-13.875,694.7635614005674
1069.125,264.625,1763.0,262.0,693.875,-2.625,693.879965303798
1047.375,265.375,1740.0,254.0,692.625,-11.375,692.718399676232
1059.375,269.125,1749.0,256.0,689.625,-13.125,689.7498867343147
995.625,271.375,1690.0,261.0,694.375,-10.375,694.4525046754458
1088.625,272.125,1787.0,268.0,698.375,-4.125,698.3871821919414
976.125,273.625,1673.0,257.0,696.875,-16.625,697.0732789671399
1113.375,273.625,1811.0,274.0,697.625,0.375,697.6251007883819
873.375,275.125,1551.0,260.0,677.625,-15.125,677.7937785565754
986.625,279.625,1685.0,270.0,698.375,-9.625,698.4413226964739
946.875,281.125,1641.0,269.0,694.125,-12.125,694.230891886842
1056.375,282.625,1751.0,274.0,694.625,-8.625,694.6785452639227
1087.875,282.625,1783.0,278.0,695.125,-4.625,695.1403860012739
837.375,284.875,1531.0,273.0,693.625,-11.875,693.7266437509807
969.375,284.875,1662.0,272.0,692.625,-12.875,692.7446544362504
1050.375,285.625,1746.0,275.0,695.625,-10.625,695.7061385743265
1210.875,287.125,1913.0,278.0,702.125,-9.125,702.1842929388267
802.125,287.875,1495.0,272.0,692.875,-15.875,693.056838397833
922.875,288.625,1622.0,282.0,699.125,-6.625,699.1563889788894
986.625,288.625,1685.0,280.0,698.375,-8.625,698.4282577688277
956.625,289.375,1651.0,274.0,694.375,-15.375,694.5451974133865
1129.875,289.375,1826.0,279.0,696.125,-10.375,696.2023098568404
1246.875,293.125,1949.0,283.0,702.125,-10.125,702.1980000327543
987.375,295.375,1684.0,285.0,696.625,-10.375,696.7022543741336
1027.125,296.125,1719.0,282.0,691.875,-14.125,692.019169712805
781.125,299.125,1476.0,285.0,694.875,-14.125,695.0185474143838
989.625,299.875,1685.0,295.0,695.375,-4.875,695.3920881416469
1187.625,300.625,1879.0,292.0,691.375,-8.625,691.4287969487531
1078.125,301.375,1773.0,293.0,694.875,-8.375,694.9254681258991
1205.625,302.125,1906.0,295.0,700.375,-7.125,700.4112408078557
1159.875,303.625,1856.0,295.0,696.125,-8.625,696.1784298942333
922.125,304.375,1614.0,293.0,691.875,-11.375,691.9685009088203
813.375,306.625,1508.0,295.0,694.625,-11.625,694.7222691478948
883.875,306.625,1578.0,295.0,694.125,-11.625,694.222339204091
1089.375,308.875,1787.0,305.0,697.625,-3.875,697.6357618772134
1193.625,308.875,1886.0,303.0,692.375,-5.875,692.3999250794297
969.375,309.625,1665.0,296.0,695.625,-13.625,695.7584216162963
662.625,310.375,1357.0,298.0,694.375,-12.375,694.4852635225603
1204.125,311.125,1897.0,300.0,692.875,-11.125,692.964307342016
843.375,311.875,1538.0,299.0,694.625,-12.875,694.7443099802978
705.375,312.625,1399.0,301.0,693.625,-11.625,693.722409361266
781.125,314.125,1472.0,304.0,690.875,-10.125,690.949188616645
919.875,314.875,1611.0,303.0,691.125,-11.875,691.2270113718068
997.125,315.625,1687.0,303.0,689.875,-12.625,689.9905117101249
1054.125,316.375,1744.0,303.0,689.875,-13.375,690.004642194529
805.125,317.125,1502.0,307.0,696.875,-10.125,696.9485499303374
1214.625,317.125,1910.0,302.0,695.375,-15.125,695.5394713817469
1135.125,317.875,1831.0,307.0,695.875,-10.875,695.9599710112644
1240.125,317.875,1947.0,298.0,706.875,-19.875,707.1543546143232
820.125,318.625,1513.0,304.0,692.875,-14.625,693.0293328929158
1023.375,318.625,1709.0,298.0,685.625,-20.625,685.9351509071394
852.375,320.875,1546.0,308.0,693.625,-12.875,693.744481960037
1206.375,322.375,1902.0,310.0,695.625,-12.375,695.735065416427
619.875,323.125,1313.0,313.0,693.125,-10.125,693.198947813685
782.625,323.875,1477.0,314.0,694.375,-9.875,694.4452147217951
1034.625,323.875,1729.0,307.0,694.375,-16.875,694.5800214878052
829.875,324.625,1524.0,314.0,694.125,-10.625,694.2063138937876
1126.875,326.125,1821.0,317.0,694.125,-9.125,694.1849762491263
805.125,327.625,1500.0,316.0,694.875,-11.625,694.9722341575957
1077.375,327.625,1773.0,320.0,695.625,-7.625,695.6667889514347
1081.125,327.625,1778.0,321.0,696.875,-6.625,696.9064903198994
1120.125,329.125,1815.0,318.0,694.875,-11.125,694.9640503292238
1135.875,329.125,1828.0,319.0,692.125,-10.125,692.1990546439658
1001.625,329.875,1692.0,315.0,690.375,-14.875,690.5352317224662
1252.875,329.875,1938.0,316.0,685.125,-13.875,685.2654823132418
1078.125,331.375,1773.0,325.0,694.875,-6.375,694.9042425039582
850.125,332.125,1544.0,320.0,693.875,-12.125,693.9809300333835
1157.625,332.875,1852.0,328.0,694.375,-4.875,694.3921127504258
1272.375,332.875,1975.0,295.0,702.625,-37.875,703.6450854301478
1003.875,333.625,1694.0,320.0,690.125,-13.625,690.2594847229554
1045.125,333.625,1740.0,318.0,694.875,-15.625,695.0506501327799
774.375,334.375,1470.0,321.0,695.625,-13.375,695.7535707777575
